gauge_id,name,height
7003,Голоустная - р.Голоустная - с.Большое Голоустное,466.03
7004,Бугульдейка - р.Бугульдейка - д.Большая Бугульдейка,468.5
7006,Анга - р.Анга - с.Еланцы,465.73
7008,Рель - р.Рель - с.Байкальское,477.14
7009,ТЫЯ - р.Тыя - гп Тыя,504.99
7011,Гоуджокит (Гоуджекит) - р.Гоуджокит (Гоуджекит) - гп Гоуджекит,652.89
7012,Холодная - р.Холодная - пос.Холодный (пос.Холодная),486.92
7013,Верхняя Ангара - р.Верхняя Ангара - с.Уоян,482.25
7015,Верхняя Ангара - р.Верхняя Ангара - с.Верхняя Заимка,454.66
7016,Ангаракан - р.Ангаракан - гп Ангаракан,669.5
7017,Янчуй - р.Янчуй - гп Янчуй,516.53
7020,Давше (Давша) - р.Давше (Давша) - пос.Давше,454.29
7021,БАРГУЗИН - р.Баргузин - с.Тасса,557.8
7022,БАРГУЗИН - р.Баргузин - с.Могойто,494.59
7024,БАРГУЗИН - р.Баргузин - пос.Баргузин,467.36
7028,Шаманка - р.Шаманка - гп Шаманка,634.64
7029,Аргода (Аргада) - р.Аргода(Аргада) - с.Аргода,518.0
7031,Ина - р.Ина - с.Ина,517.03
7034,Максимиха - р.Максимиха - с.Максимиха,454.65
7036,Турка - р.Турка - с.Соболиха,460.46
7039,Большая Сухая - р.Большая Сухая - с.Сухая,478.78
7041,СЕЛЕНГА - р.Селенга - пос.Наушки,589.18
7043,СЕЛЕНГА - р.Селенга - с.Усть-Кяхта,575.09
7047,СЕЛЕНГА - р.Селенга - с.Новоселенгинск,531.12
7050,СЕЛЕНГА - р.Селенга - г.Улан-Удэ,494.98
7051,СЕЛЕНГА - р.Селенга - рзд Мостовой,486.07
7053,СЕЛЕНГА - р.Селенга - с.Кабанск,461.11
7056,Джида - р.Джида - с.Хамней,898.56
7060,Джида - р.Джида - ст.Джида,574.75
7062,Цакирка - р.Цакирка - гм.ст.Санага,1179.57
7063,МОНДОНКУЛЬ - р.Модонкуль - г.Закаменск,47.49
7064,Хамней (Барун-Хамней) - р.Хамней - Хамнейский мост,917.2
7066,Темник - р.Темник - улус Улан-Удунга,638.01
7070,ЧИКОЙ - р.Чикой - с.Черемхово,883.86
7072,ЧИКОЙ - р.Чикой - с.Гремячка,740.92
7074,ЧИКОЙ - р.Чикой - Чикойский кожевенный завод,587.81
7076,ЧИКОЙ - р.Чикой - с.Поворот,540.95
7080,Аса (Аца) - р.Аса(Аца) - с.Аца,837.69
7084,Менза (Минчжи) - р.Менза - с.Укыр,916.17
7087,Катанца (Хаданца) - р.Катанца - с.Хилкотой,683.8
7091,Киран (Хиранг-гол) - р.Киран - с.Усть-Киран,581.68
7093,ХИЛОК - р.Хилок - ст.Могзон,897.27
7096,ХИЛОК - р.Хилок - г.Хилок,795.23
7098,ХИЛОК - р.Хилок - с.Малета,662.98
7099,ХИЛОК - р.Хилок - с.Малый Куналей,620.55
7102,ХИЛОК - р.Хилок - з.Хайластуй,528.29
7104,Блудная - р.Блудная - с.Энгорок,917.9
7108,БАЛЯГА - р.Баляга - г.Петровск-Забайкальский,759.83
7112,Унго - р.Унго - с.Усть-Унго,681.65
7118,Оронгой - р.Оронгой - Оронгойский мост,528.89
7119,Куйтунка - р.Куйтунка - с.Тарбагатай,545.07
7124,УДА - р.Уда - с.Усть-Эгита,767.04
7128,УДА - р.Уда - с.Первомаевка,551.43
7130,УДА - р.Уда - г.Улан-Удэ,498.63
7133,Она - р.Она - с.Нижняя Майла,762.07
7135,Кудун (Худун) - р.Кудун - с.Михайловка,712.65
7138,Кижинга (Киченга) - р.Кижинга - пос.Новокижингинск (с.Вознесеновка),754.25
7142,Курба (Большая Курба) - р.Курба - с.Новая Курба,560.78
7143,Малая Курба - р.Малая Курба - с.Малая Курба,771.43
7148,Итанца - р.Итанца - с.Турунтаево,505.19
7152,Вилюйка - р.Вилюйка - пос.Селенгинск (с.Завилюйка),468.0
7156,Большая Речка (Левая Большая Речка) - р.Большая Речка - ст.Посольская,477.13
7161,"Мысовка (Левая Мысовка, Мысовая) - р.Мысовка - г.Бабушкин",464.0
7167,Снежная (Удулха) - д.Выдрино - р.Снежная,464.32
7168,Хара-Мурин - р.Хара-Мурин - п.Мурино,464.31
7170,Солзан - р.Солзан - г.Байкальск,485.01
7171,Харлахта - р.Харлахта - г.Байкальск,497.41
7172,Утулик - р.Утулик - п.Утулик,466.51
7174,Безымянная (Левая Безымянная) - р.Безымянная - пос.Мангутай,484.2
7176,Слюдянка - р.Слюдянка - г.Слюдянка,525.51
7180,Похабиха - р.Похабиха - г.Слюдянка,464.01
7183,Большая Половинная (Половинная) - р.Половинная - 110 км ВСЖД,456.61
7185,"Желтура (Ацзаргаин-гол, Цзэлтэрыйн-гол) - р.Желтура - с.Желтура",700.67
7187,Выдриная - р.Выдриная - 245 км ВСЖД,455.01
7190,ЧИКОЙ - р.Чикой - с.Семиозерье,1161.0
7197,Брянка (Шабур) - р.Брянка - ст.Заиграево,564.99
7200,Култучная - р.Култучная - пос.Култук,460.0
7202,УДА - р.Уда - пос. Удинск (c.Тарбагатай),611.1
7203,Кика (Большая Кика) - р.Кика - с.Кика,519.34
8013,АНГАРА - р.Ангара - ГЭС Иркутская,425.59
8018,АНГАРА - р.Ангара - г.Иркутск,423.62
8029,АНГАРА - р.Ангара - с.Суховская,410.0
8059,АНГАРА - р.Ангара - ГЭС Братская,294.05
8078,АНГАРА - р.Ангара - с.ТонкийМыс,203.5
8082,АНГАРА - р.Ангара - с.Кежма,172.17
8084,АНГАРА - р.Ангара - с.Богучаны,121.15
8086,АНГАРА - р.Ангара - д.Каменка,108.36
8088,АНГАРА - р.Ангара - с.Рыбное,96.04
8091,АНГАРА - р.Ангара - д.Татарка,82.32
8095,Иркут - р.Иркут - с.Монды,45.0
8097,Иркут - р.Иркут - с.Тунка,706.92
8099,Иркут - р.Иркут - с.Тибельти,657.99
8109,Иркут - р.Иркут - г.Иркутск,424.07
8120,ОЛХА - р.Олха - д.Олха,450.1
8129,Ушаковка (Правая Ушаковка) - р.Ушаковка - пос.Добролет,546.32
8134,Ушаковка (Правая Ушаковка) - р.Ушаковка - г.Иркутск,426.14
8139,Куда - р.Куда - с.Ахины,648.0
8145,Куда - р.Куда - д.Грановщина,429.7
8147,Мурин - р.Мурин - д.Загатуй,574.5
8150,Харат - р.Харат - с.Харат,539.5
8155,КИТОЙ - р.Китой - пос.Дабады,749.78
8156,КИТОЙ - р.Китой - с.Раздолье,511.67
8161,КИТОЙ - р.Китой - р.п.Китой,409.49
8162,"Тойсук (Сред. Тойсук, Орелкина) - р.Тойсук - пос.Тальяны",505.93
8168,Белая (Большая Белая) - р.Белая(Большая Белая) - с.Инга,539.39
8172,Белая (Большая Белая) - р.Белая - р.п.Мишелевка,410.48
8182,Малая Белая - р.Малая Белая - д.Тунгусы,480.25
8184,Хайта - р.Хайта - с.Хайта,421.67
8186,Ида - р.Ида - д.Морозова,408.5
8188,Оса - р.Оса - с.Оса,409.49
8194,Бирит - р.Бирит - д.Метляева,45.9
8198,Тунак - р.Тунак - д.Чичкова,409.0
8204,Ока (Аха) - р.Ока - пос.Сарам,596.0
8207,Ока (Аха) - р.Ока - с.Ухтуй,442.71
8209,Ока (Аха) - р.Ока - с.Усть-Када,406.9
8217,Тагна (Хор-Тагна) - р.Тагна - с.Хор-Тагна,518.71
8219,Зима - р.Зима - пос.Зулумай,507.08
8230,Ия - р.Ия - пос.Аршан,572.42
8233,Ия - р.Ия - г.Тулун,448.91
8241,Кирей (Бол. Кирей) - р.Кирей - с.Уйгат,483.92
8246,Курзанка - р.Курзанка - пос.Утай,488.05
8249,Бада (Бол. Бада) - р.Бада - с.Покосное,399.0
8251,Вихорева - р.Вихорева - с.Кузнецовка,347.99
8254,Вихорева - р.Вихорева - с.Кобляково,304.47
8256,Эдучанка - р.Эдучанка - пос.Эдучанка,303.54
8281,Бадарма - р.Бадарма - пос.Средняя Бадарма,305.9
8288,Чадобец (Бол. Чадобец) - р.Чадобец - с.Яркино,172.95
8289,Мура - р.Мура - с.Ирба,191.03
8290,Карабула - р.Карабула - с.Карабула,181.46
8291,Иркинеева - р.Иркинеева - с.Бедоба,151.12
8296,Тасеева - р.Тасеева - пос.Машуковка,92.94
8299,Уда (Чуна) - р.Уда - с.Алыгджер,912.57
8300,Уда (Чуна) - р.Уда - пос.Хадама,690.1
8304,Уда (Чуна) - р.Уда - г.Нижнеудинск,401.35
8306,Уда (Чуна) - р.Уда - д.Укар,358.42
8307,Уда (Чуна) - р.Уда - с.Широково,313.33
8309,Уда (Чуна) - р.Уда(Чуна) - р.п.Октябрьский,253.42
8313,Уда (Чуна) - р.Уда(Чуна) - с.Чунояр,150.88
8317,Хадама - р.Хадама - пос.Хадама,697.4
8321,Кадуй - р.Кадуй - д.Кадуй,365.15
8323,Чукша - р.Чукша - д.Савельевка,282.67
8326,БИРЮСА - р.Бирюса(Большая Бирюса) - уч.Нерой,768.34
8328,БИРЮСА - р.Бирюса - пос.Соляная,307.92
