gauge_id,name,height
75389,ПРОТВА - P.ПPOTBA - C.CПAC-ЗAГOPЬE,119.04
75394,ОСЕТР - P.OCETP - Д.MAPKИHO,107.0
75395,МОСКВА - P.MOCKBA - Д.БAPCУKИ,183.0
75402,МОСКВА - P.MOCKBA - Г.ЗBEHИГOPOД,132.89
75403,МОСКВА - P.MOCKBA - C.ПETPOВО-ДAЛЬHEE,127.5
75407,МОСКВА - P.MOCKBA - C.ЗAOЗEPЬE,106.92
75408,МОСКВА - P.MOCKBA - Г.KOЛOMHA,100.94
75409,Лусянка - P.ЛУCЯHKA - Д.ЧEPHИKИ,183.22
75415,Искона - P.ИCKOHA - Д.HOBИHKИ,161.54
75418,Руза - P.PУЗA - Д.ПOKPOB,161.14
6345,Уркан (Правый Уркан) - р.Уркан(Правый Уркан) - Арби,213.97
6349,Деп - р.Деп - з.Рычково,235.74
6363,СЕЛЕМДЖА - р.Селемджа - с.Экимчан,480.29
6364,СЕЛЕМДЖА - р.Селемджа - с.Стойба,339.66
6369,СЕЛЕМДЖА - р.Селемджа - Норск,200.49
6373,СЕЛЕМДЖА - р.Селемджа - с.Усть-Ульма,168.44
6387,Нора - р.Нора - устье р.Эльга (мет.ст.Нора),258.47
6403,Бирма - р.Бирма - с.Бичура,174.64
6407,Большая Пера - р.Большая Пера - с.Дмитриевка,155.16
6411,Малая Пёра - р.Малая Пера - с.Сукромли,0.3
3507,ЭЛЬГИ - р.Эльги - 5.0 км выше устья р.Артык-Юрях,593.83
3510,Артык-Юрях - р.Артык-Юрях (Большой Артык-Юрях) - 3.5 км от устья,590.46
3515,Чаптахай - руч.Чаптахай - г.п.Гранит,530.0
3516,Амбар-Юрюетэ (Дунай) - р.Амбар-Юрюетэ (Дунай) - г.п.Ремпункт,494.32
3518,НЕРА - р.Нера - пос.Ала-Чубук,568.25
3520,Делянкир - р.Делянкир - пос.Делянкир,794.61
3527,РУЧ. ТРИАСОВЫЙ - руч.Без названия (Ближний) - 0.3 км от устья,578.2
3554,Чуя (Бол. Чуя) - р.Чуя - с.Чуя,179.0
3555,ВИТИМ - р.Витим - р.п.Мама,202.51
