,NSE,KGE,r,alpha,beta,RMSE,delta
70158,-0.12202506081352693,0.5497413516320188,0.6379227693395643,0.7325006711740247,0.9912228395774154,1.1795980196441407,-3.6166608498313777
8290,0.5373253806525544,0.6869438208113567,0.7831182687086593,0.9949150131958789,0.774299692358507,0.19201382202910647,-143.61474750309472
70583,0.06407351238666259,0.5744543291338498,0.5900952767228147,0.8907593962249728,1.033670852600484,1.5468930725635404,-63.14022132138274
76408,0.18298017984607295,0.45177160087287105,0.6137036455466031,1.017766726548263,1.3886050019920861,0.6615517613207257,28.19142471446808
72668,-0.012642559687171984,0.4397604912616677,0.5208827163421964,1.1864182749963879,0.7773721437036534,0.5679904469038178,-73.1148120624219
77112,0.2717822284155068,0.6605691284735318,0.6933479930352501,0.8707463955611892,0.9331317047526695,0.32489655327236944,-8.280667870480773
76295,0.6283964113663691,0.5809086059598011,0.8334689402385081,1.2831652021652626,1.2602354145307237,0.3232123211993637,16.280024994366308
72327,0.25350124933035,-0.19254990349008416,0.5104487006214683,2.083710052981916,1.0899295204976251,1.0198151259622534,-83.0489860160194
11352,-0.19583193325204906,0.4726755409270502,0.4910808310402492,0.8685694786582443,1.0424073420733964,0.28139952233871846,-23.39917173294056
8256,0.7173479913048243,0.8492596873928043,0.8638670751251913,0.9690608483930216,1.0568615644155626,0.19515312631589435,-14.357722442347855
78519,-10.432810012403086,-0.06886673807439525,0.2013203054067319,0.2945356499816574,0.9168922382722339,0.07059331280981339,-11.015419890905171
72179,0.25173396386420377,0.29269940433910424,0.565356590097999,1.5282658245064875,1.179706587273533,0.9232709830214796,4.325057000394909
12511,-0.43175916532046354,0.40244059014055755,0.5143388355442335,0.7597455018428515,0.7480312365266464,0.7318768910915704,-102.19610799863987
76076,0.6504191770431929,0.7221880527365777,0.8240430600074556,1.0367322635730196,1.2118239224534304,1.2056658743198179,-25.08586253103396
76345,0.06430203641988352,0.49382057576036475,0.6076274561281197,0.9489307827532854,1.315679158939715,1.5364811365553408,7.303763687719843
83260,-2.13331421860348,0.13474696405873143,0.3254823500480437,0.5716492269848374,0.6680295625116821,0.054722342513133675,-149.90523816139395
10511,0.40834236600383633,0.676773502300013,0.7251603325955868,0.9794427272603612,1.1688665880923141,0.4900504948062605,11.93702737145762
72144,0.47853029707619943,0.6333720933404354,0.7108645468548481,1.1899705930843296,1.1213584996582857,1.0091642247390205,-193.50661085321858
5589,-0.10115372546893275,0.4114098121964854,0.455765316302712,0.9963217273531827,1.2241282859208653,2.7064925917770686,-35.79706289961607
5199,0.0008296459230520137,0.44507673038593676,0.4715854496680859,1.0688480413126764,1.154847813559286,1.1796609819216435,-47.50063628744955
5604,0.4089319387405933,0.15837517878630314,0.6440667071589458,1.7625074922784134,1.0150384490422633,3.0979003796673266,-37.48814007695311
75389,0.35339183323980616,0.6142702822767223,0.7598215153707369,0.871151513402939,0.7270535251047977,0.4067660964091115,-49.47769511051225
8379,0.5263903642058727,0.7195149950311179,0.8219957051058827,0.8448765990335416,0.8485964350345697,0.8415560192582991,-126.1669962778225
78504,-0.8683589907635811,0.4209583275023364,0.5927460426631038,0.5894776266327648,0.9699192139853128,0.07049792167127397,-17.0554340165261
75291,0.4387940454841174,0.667845552159453,0.7113647498823154,1.0473307235534737,1.1574041683617844,1.1440875463926397,7.28554279859246
70399,0.766292455882891,0.8830148815875929,0.8873133871481192,0.9686796532781707,1.0025062113158394,1.2462465372201348,7.575920335099452
84400,-3.587296297623844,0.23172933698539722,0.6129153839611304,0.446803597874097,0.6334225152169128,0.4782506321037543,-57.620763911294446
80224,-7.244625504550152,0.0640219480745815,0.38655330110989994,0.32897657837586436,0.7775913020163605,0.2894151970002922,-33.36503052794535
3087,0.7772114090061126,0.7974746361121597,0.8840210847080575,1.1369492548748408,1.0938632825700894,0.6923315370460561,2.5960948808485633
70444,0.7339420038116565,0.8041612947506022,0.8582994967237845,1.1180113042922484,1.0659325253897507,1.7465247407246478,2.7696327451131104
19382,0.7458288058680402,0.5274460873953953,0.8871687488484823,1.4327312978296305,1.152708653848389,0.37655094423863916,-25.658484396294185
11370,0.398947255577598,0.6471774144437359,0.6799561633288558,1.0888177792638756,1.1190257181203067,0.27821631006430636,-19.907314831142067
1801,0.14174673838110186,0.5576908791761301,0.5946925130723322,0.9739346462778957,0.8248320898688783,0.6693508566274112,-105.346078163609
10232,0.545373388427915,0.7775163370330509,0.7793086187901537,0.9726335106406904,1.0067357113230964,1.2781830471595341,-22.36709685107419
79244,-1.5071183305350582,0.34916177577735497,0.6824979818846952,0.5106359765996109,0.7113727053735593,0.31684199926250967,-40.460584403252696
48089,0.23558959002950097,0.6070531717657776,0.6232601981576851,0.9967576190351598,0.8883585270035026,1.6697830379265926,-246.30777465733834
72454,-1.1195538085598349,0.15681218256534946,0.24128352485691987,0.9856460230215534,0.6324282802478248,0.4074131315493654,-185.21222751648997
3247,0.6312991338754044,0.80207161150929,0.8374581327967426,0.9114401911525842,0.9299075707831632,0.7882749243773849,-19.85765170969035
10120,-0.0025577334830799714,0.5435285608537768,0.5563394830884363,0.8980330616951488,1.0336788358279052,0.5145430522884923,-2.4137915032802963
9304,-0.2793317320319757,0.4539460683405727,0.5881262695345872,0.7670255299250313,1.2725028857214369,0.24862756451857157,24.79854424567229
72721,0.44616720837974033,0.5326284295873718,0.6725987844352153,1.3328348566918398,1.0215774661994905,0.7574802431244125,-187.51390607221273
10641,0.13246703144135807,0.5391639379296589,0.5581500744751683,1.0243185519352516,1.1286356383354645,0.5341612283297626,-23.186303385578242
83063,-0.745644969201662,0.36257451033378973,0.5026901620623914,0.7988529118909892,0.6557122875966336,0.098966527805349,-255.51606169158143
71199,0.39890679108730465,0.685623341855284,0.8222259937639868,0.7423145667125102,0.9712371182863015,0.7020132378809307,-9.327575420684104
10044,0.6953250063347319,0.8194711375582211,0.8718672054506352,0.9001102076154937,1.0787063308309646,0.5874744182481293,2.2614485626220024
2103,0.17632368838748913,0.6482990714035978,0.714743917072436,0.8661248086273884,1.1562048125485926,0.7920571320316879,13.020016560387361
70586,0.6111081505027798,0.7784640349389805,0.8071332818257668,1.0042866767825136,1.108913898279239,1.2659880410423505,-11.197867992559251
78054,-7.412486539440835,0.10309244972594123,0.4243496392873831,0.3161991632098236,0.9259309001330399,0.1520469271716203,-6.390387283413987
76518,-21.122598101971914,0.05615268115380401,0.5244888761030116,0.19522574204630982,0.8693274088476736,0.5538175289902314,-6.16504851455604
11350,-0.08277169820892016,0.4691514436794568,0.4727581667005487,0.9759748690008313,0.9430875053515367,0.2870378409651924,-44.97944731804235
11801,0.30737674850322605,0.6119084079647203,0.6419436459347571,1.0783288235407966,1.1275747879665026,0.2537436218111042,-1.9331271251640405
5597,0.6519421730033048,0.3514413841732511,0.8341623162593247,1.5702463752835456,1.2606630244024148,1.1143740319663393,24.700527673821565
10385,0.5461427282824696,0.5519101589141479,0.7514143453869448,1.251369838232976,1.275323232640601,1.771887408881443,-6.921441097595793
79335,-7.090340074780464,0.11320278222734081,0.6586520062418855,0.3605602012121618,0.48911097454260355,0.20971294679591546,-119.49690442009961
10329,0.35922075001982245,0.6995912995993894,0.7478464003639379,0.8367451025544413,0.9965666449352723,0.37394510019096344,-9.27466997658414
9563,0.4650446518575473,0.6385837717300749,0.7192428692373005,1.1553210509562586,1.1663505176204705,0.11556347769329611,5.411415996101802
10411,0.6392059423515959,0.5405520753603155,0.8068534820990854,1.2341051900065556,1.344937063955817,1.3971143706404112,3.1691719244875154
5607,0.3273526346961294,0.5413557400427137,0.6243975153383442,1.15320243978166,1.214024164880287,1.2797863852058078,0.4702468479691311
10688,-1.536190366573079,0.27211911280256795,0.406561401070111,0.584841546867906,1.0726957635658232,0.49600928768694663,-2.4207337780913822
84447,0.39856409617611077,0.5773696452738828,0.6727851675561454,1.2194617549967786,0.8470836560128456,1.5198050361444102,-59.67151269151737
10328,0.38199534647662015,0.6664603849075751,0.7046284787628353,0.9873103816283992,1.154412800193602,0.3300216613985304,3.483909042955648
5736,0.6378605350830686,0.6235096673847765,0.8028437173521449,1.2901888405752366,1.1366192064491687,0.9636175432532785,-122.43613787337297
10713,-13.314510869458454,0.015349228632115852,0.36523246878232984,0.2480523611707801,1.0343812641762125,0.23356892974991553,11.914616718778758
77209,0.11970315935189757,-0.10902573600365595,0.47161239329924576,1.9006540846676647,1.37358645582375,0.21004335621241543,18.003012351900487
3150,0.787330733839212,0.8700360847076831,0.901790416858509,0.9506255119581386,0.9306627301670509,1.038862982703225,-81.15796562442276
72104,0.5586939254112598,0.511515306096878,0.7846302816476838,1.4125182092093793,0.8514674861683222,0.5619186591962878,-51.03266668146412
49052,0.6299058860018323,0.8163957858933387,0.8173907266462448,0.9889996264578462,0.9844002402303336,0.5431015459196045,-4.618811817388194
3222,0.5765157156217382,0.7770438783972269,0.8225774997717982,0.8815013829371199,0.9352793207150207,0.7134450464382464,-18.72162168983896
5664,0.3849306825459723,0.015832224487478563,0.7311373892125594,1.915527847218835,0.7589442640286866,1.9394049944204717,-103.43836419542468
75387,-21.006459173228993,-0.20368150734689605,0.3349002106270512,0.21069975215666634,0.38072900918950936,0.4727536890124112,-208.0369879911132
75219,0.4944139729284457,0.7451438964441003,0.7546501746313065,0.9762650255964487,0.9352562921875042,0.8045682855297195,-29.52223677874168
78141,-0.7506749742829211,0.4324330925937583,0.7181849610448218,0.560588485721636,0.7772220852037353,0.17484104794151992,-25.17328642840442
84011,-1.7847416728885697,0.10887472284585031,0.27870298939508525,1.014178168794068,1.523100240494229,0.05033489519971429,31.882683735302233
70614,0.38051386267450904,0.03840381627874001,0.6445938149931927,1.8482072584285365,1.2808880754951055,1.0585459440283234,-84.39956576640012
9383,0.5005666047225745,0.2643053179652083,0.7194249199718906,1.6696185174152351,1.118892097197904,1.0376465914265836,-36.896376546463934
11048,0.03669426472488313,0.5017745051492204,0.5051861062994333,1.0375335785630146,0.9555130940563134,0.0578133306379539,-14.936857168508624
80236,-5.142935952887106,-0.10782792867048352,0.10961582731746886,0.49071789963317314,0.5815140542088276,0.2283694109838356,-127.6116530754303
9560,0.7380030778553748,0.8640085447644141,0.8688428418915715,1.0047957998296455,0.9643843281966071,0.609095094184016,-17.093344489129905
9022,-0.2139436669243373,0.5413818717183176,0.6804457826890147,0.6762624609757778,1.0583925989650862,0.2329259231327862,5.82220343158636
10240,0.711769673212034,0.81899757823476,0.8484303583863816,1.0764138303883202,1.0628446254773318,1.4082619282922206,-8.308681427758021
