,NSE,KGE,r,alpha,beta,RMSE,delta
10042,0.8094480037689209,0.8911306142249482,0.91316235,0.9357188,1.0134048,0.4131311,6.912556
10044,0.8630899786949158,0.9233209638470347,0.9331734,0.98967797,1.0361571,0.39384776,3.015366
10048,0.6643611490726471,0.8299051468266776,0.8339568,0.9963153,0.9632804,0.48867625,-5.8633904
10058,0.22639352083206177,0.2270953518255603,0.54942614,1.5443548,1.3131176,2.3700178,13.167633
10059,0.3452383279800415,0.09152437726282214,0.59079313,1.8049635,1.0995566,4.2802005,-25.981968
10062,0.7527049332857132,0.8735000506754982,0.87794495,0.99139327,0.9678951,0.46307108,-6.7016697
10066,0.8065280616283417,0.8330736295155607,0.9314593,0.84896916,0.9811248,0.78201693,12.631006
10073,0.8060814291238785,0.8345516171966202,0.92444825,0.9361177,0.86739475,0.37148553,-16.906328
10075,0.6794010400772095,0.72914047079031,0.90715665,0.8164859,0.82374007,1.0590452,-19.605196
10078,0.8639185875654221,0.8495389610525053,0.9365605,1.0263836,1.1338576,0.91841155,14.858436
10100,0.7646027505397797,0.8035865794530708,0.88731,1.1125271,0.88503546,0.14854638,-104.761795
10108,0.6751570403575897,0.6363083949730752,0.8296937,1.30918,1.0876074,0.47587526,2.3855245
10110,0.5950772762298584,0.2253837302324886,0.8245442,1.3710735,1.6569247,0.9149956,27.573309
10112,0.44871360063552856,0.22264063801976686,0.7610318,1.6026092,1.4290035,0.3923103,26.172068
10117,0.7514537423849106,0.6758982051612512,0.873633,1.2963301,1.0355223,0.29440588,-5.2423086
10120,0.7607680410146713,0.8224903080335617,0.87240833,1.1233766,0.9971244,0.2513956,-4.1612906
10122,0.7073969542980194,0.8377399779184386,0.86743546,0.9476096,1.0775255,0.216332,11.32684
10126,0.825898140668869,0.82468222008835,0.91814244,1.0675564,0.8604586,0.50970596,-56.05782
10133,0.8161454349756241,0.6630647567493118,0.92141175,1.3110914,1.1028172,0.35195142,3.392462
10144,0.6130256950855255,0.4738901035919699,0.9451578,0.7452609,1.457047,0.18652073,48.027344
10148,0.7203685939311981,0.4996219319395252,0.8748704,1.3696347,1.3131948,0.7822944,16.112934
10150,-0.30452466011047363,0.4610001763662488,0.602887,0.72417325,1.2382051,0.4193343,23.490261
10176,0.7591143399477005,0.5318887579165523,0.89644164,1.3055761,1.3391564,0.40810728,25.93239
10177,0.727967768907547,0.7760851615705907,0.87035006,0.99540603,1.1825038,0.35990968,23.447145
10184,0.7964236438274384,0.8842564128892855,0.9056857,0.9441657,1.0372012,0.83061236,12.077504
10194,-0.015889525413513184,0.48268219472251905,0.9538039,0.53037417,1.2119793,0.22086933,35.71501
10198,-0.9428906440734863,0.40616147526871904,0.91067207,0.4478879,0.80040807,0.4607523,32.611305
10202,-0.8929376602172852,0.31468377318801566,0.83756703,0.491455,0.570284,0.40261224,-79.9796
10204,0.7222612500190735,0.5695240611080062,0.870524,1.2569672,1.3201771,0.6044937,22.579473
10205,0.9242637902498245,0.9241265615761852,0.96187353,1.0493282,1.0432421,0.20521642,7.4800515
10209,0.9241593927145004,0.712122003563554,0.9752224,0.9669089,1.2848943,0.19199952,33.507908
10211,0.8157606273889542,0.47588584697353564,0.9388824,1.255346,1.4536064,0.3884991,34.989555
10216,0.6776565313339233,0.8343926764682952,0.851123,0.93975127,1.0403919,0.14935017,1.7975653
10219,0.7988782376050949,0.8064960757377341,0.93816274,0.81782943,0.979172,0.13812804,10.259845
10220,0.7308529019355774,0.6798377104373036,0.9732099,0.70100075,0.88870925,0.14849357,6.257288
10221,0.8676019757986069,0.7503622905348172,0.95157087,0.9288042,0.76568234,0.24562326,-65.423
10223,0.5267235338687897,0.5216857831214841,0.7300079,1.3731549,1.1290123,0.51671463,-7.8322625
10231,0.41856908798217773,0.635118139507175,0.9063125,0.64911646,0.9647556,0.33190477,1.4302049
10232,0.8626040518283844,0.9271580893916034,0.9329308,0.98141396,0.9785005,0.70297766,-5.9617376
10240,0.7998661994934082,0.6955462055384121,0.9034936,1.2869129,1.0325515,1.1740067,-20.06982
10246,0.8828356862068176,0.8157864459849352,0.94430614,1.1741695,0.9776886,0.68746674,-10.81131
10264,0.7839058935642242,0.63218281410713,0.90830207,1.2898425,1.2070563,1.0318407,18.961489
10266,0.8059065639972687,0.6557952014261741,0.9125268,1.3243328,1.0750573,1.0550382,-15.230971
10276,0.6591110527515411,0.6889263194402556,0.81881243,1.2038507,0.85039127,1.292062,-43.90687
10279,0.8384430706501007,0.764689703896131,0.92109543,1.2029952,1.0890952,1.2817371,-16.364668
10292,0.7297762632369995,0.6907614357570093,0.8604492,1.1917259,1.1984824,2.6742065,15.46298
10301,0.7513957768678665,0.7333979281688217,0.94055164,0.77057695,0.8779032,0.41904035,-20.371422
10308,0.8766751438379288,0.9099840446514373,0.93662983,1.0507851,0.9611674,0.20261116,-12.154761
10315,0.8348724991083145,0.9073974920481771,0.9204314,0.9749729,0.9597793,0.36330542,-7.288048
10323,0.8965130001306534,0.9221615344143234,0.95350397,0.9393516,0.98521084,0.10984373,1.1318547
10343,0.5361670255661011,0.3651847796345886,0.9014619,0.9094917,1.6205553,0.07687689,50.38443
10349,0.7740862220525742,0.7709343955066851,0.88274956,1.1778004,0.91567683,1.1502773,-24.74296
10357,0.5918412208557129,0.34965140093977565,0.81247735,1.2760736,1.5581863,0.6428776,28.84357
10369,0.5550109148025513,0.769663130940033,0.82136047,0.8578604,1.0306484,0.47858956,6.2869744
10379,0.8834831193089485,0.7298194040654256,0.95119995,1.2018121,1.1728814,0.20830488,-2.2782805
10380,0.5864223539829254,0.515056933465277,0.771001,1.4013627,1.147096,0.9797676,-43.459198
10384,0.758989229798317,0.7234480664519922,0.874332,1.243722,1.0358906,1.519559,-6.2380385
10385,0.7572927325963974,0.6340193498555206,0.8811579,1.3459327,0.987796,1.2964648,-32.820633
10387,0.8429100066423416,0.8196063247353794,0.9202399,1.1249555,1.1027926,0.77626973,1.6351216
10392,0.27948325872421265,0.5953488425712729,0.8673819,0.64742774,1.14781,0.28282067,33.411854
10394,-0.002243638038635254,0.5579186483574745,0.83751637,0.59844244,1.0882412,0.3406454,20.14074
10396,0.807358056306839,0.7660861123973172,0.9014035,1.1943445,1.0849979,0.47909,-47.08087
10400,0.8698530793190002,0.5994967109334313,0.9579269,0.993209,1.3982294,0.22619826,40.841713
10402,0.8776583448052406,0.772699670974369,0.9468752,1.0452031,1.2163328,0.17150395,22.539309
10404,0.5448925793170929,0.7398660231903728,0.83295465,0.82377553,1.0933299,0.2894332,11.623771
10407,0.8483898788690567,0.9011183359298346,0.9260239,0.9826853,1.0632876,0.57514304,-5.69601
10411,0.9015904143452644,0.6824305585918593,0.9572471,1.1364034,1.2835783,0.7301082,24.029856
