,NSE,KGE,r,alpha,beta,RMSE,delta
10059,0.3452383279800415,0.09152346438520009,0.59079313,1.8049644997718794,1.0995566,4.2802005,-25.981968
10103,0.6319731175899506,0.5513923623609536,0.81221795,1.3888425802567756,1.1216066,0.28638583,-3.426507
10111,-0.1035531759262085,-13.03641076038449,0.6170482,14.54128799895497,4.6752815,1.9028453,50.80481
10127,0.7157056033611298,0.7257696515319167,0.86482453,1.1221318881255835,1.2049724,0.82817215,15.394708
10137,-0.016867637634277344,-5.599141108885678,0.81570226,6.729719287431734,4.268794,3.3841517,60.99281
10139,-0.14467346668243408,-7.727162933018857,0.68160635,8.22644353583108,5.8826747,,83.79525
10168,0.5308874547481537,-0.13099069854389755,0.8651707,1.7344395183866612,1.8494467,0.24992806,42.084114
10172,-1.931546688079834,0.14551188150036587,0.9328651,0.5399810583722339,0.28304434,0.18431918,-492.93103
10174,0.3923460841178894,-1.34637366469924,0.9073797,2.9311595299276876,2.3294787,1.2106836,40.88345
10277,0.8911796286702156,0.3887919287701336,0.6994499,1.1743162753563288,0.49714935,,-13.532716
10287,-0.18096542358398438,-5.426911090883345,0.8434097,3.196521337505175,7.037877,0.36759654,90.68431
10298,0.6350290775299072,0.6491347297383645,0.9467616,0.6915076051040661,1.1584442,0.19890499,39.08338
10305,-18.73849868774414,-0.07476724886941954,0.85380775,0.2031139285935961,0.29379532,0.8752331,-175.84583
10317,0.7207055985927582,0.5877331802762104,0.866951,1.3606612541563128,1.1489475,0.3816044,5.0815806
10338,0.5561435222625732,0.5989511911664132,0.89708817,0.8275562002449585,0.652851,1.1447158,-73.55362
10341,0.30275529623031616,0.3775551850520291,0.486025,1.0482190777137794,0.6522326,,12.269067
10342,-4.881481647491455,-1.20537312763215,0.1115247,0.7269313909330636,2.999929,0.12517287,51.172604
10378,0.9257339537143707,0.7468777569890326,0.9736295,1.149336075144252,1.2026677,0.17153293,16.043701
10444,0.3563036322593689,0.43098551721284806,0.9381014,0.6399777189364285,0.56373173,0.34122095,-264.53345
10488,0.6638076305389404,0.7348352737718197,0.8190729,1.1713487638915232,0.9093506,0.63730055,-25.436396
10511,0.686151772737503,0.7879072664681981,0.8893152,0.8294104032110691,1.060261,0.35706192,10.819833
10519,-35.217491149902344,-0.05483401624022388,0.49069804,0.1557840814677558,0.6250523,0.27401036,14.96798
10556,-5.115447044372559,0.1288356677954806,0.7206749,0.3348829835831708,0.5116107,2.6559885,-57.702923
10557,-0.6293460130691528,0.4245759756337698,0.72717464,0.5615346716364105,1.2538253,0.42984387,35.599834
10573,,,,,0.0,,
10589,0.5789165794849396,0.0052406300122064264,0.8788932,1.7604525699189346,1.6297549,3.218217,30.676277
10623,0.35525572299957275,-1.8524743978882383,0.83705217,3.7730401430824134,1.6483105,1.3208189,-161.00407
10660,0.6803053915500641,0.33354180464777883,0.8888867,1.0635663516902136,1.6540487,0.17563193,43.675385
10693,0.028033435344696045,0.39646322334443873,0.62929577,0.8478605702168044,1.4513187,0.7093571,32.639618
11332,0.5830090343952179,0.3985322479276806,0.7799098,1.462999732774736,1.3145711,0.2321107,13.799047
11364,0.2145203948020935,0.6371923270749376,0.7450963,0.7555308872895301,1.0829962,0.2941226,11.844919
11365,0.40903788805007935,0.6846744546825294,0.6911466,1.0504781231898388,1.0386231,0.44007584,-6.2197614
11369,0.38285350799560547,0.6314455808240262,0.8373213,0.7270511973466337,0.8132731,0.2702606,-27.0343
11372,-1.6003551483154297,-4.579372658751849,0.6350646,1.78760798252592,6.511433,0.121090114,90.9409
11384,-1.5241405963897705,0.28634894488246143,0.7960129,0.45050265059181965,0.59288853,0.5533062,-542.74445
11386,0.86287522315979,0.8990043895027824,0.9387499,0.932787680213296,1.0439436,0.22501823,9.150434
11390,0.8466988503932953,0.6859763118490638,0.9356108,1.2070047196039555,1.227187,0.26393357,-3.5942998
11496,0.48461586236953735,-1.2363865743143565,0.8830424,2.4631698551462993,2.68727,0.37735587,90.980736
11499,0.8211400955915451,0.3941117020407364,0.9434813,1.3171765877207962,1.5131328,0.25238594,39.01836
11527,0.32642805576324463,0.1896911580890972,0.39122668,0.6090869018453484,0.63505834,,12.146841
11536,-5.579113483428955,0.1646462280150418,0.9330782,0.3099941683786086,0.5339213,1.4079143,-56.305927
11551,0.29706043004989624,-1.7352822660204508,0.82787657,3.514372638174071,2.0630488,1.3995936,-9.16644
11555,-1.6673777103424072,0.28761285854805085,0.8423434,0.43514571067859376,0.5955504,2.2308571,-186.65268
11558,-3.9266505241394043,0.1941338539409343,0.8413152,0.349200643049003,0.55200493,2.0867913,-51.993893
11574,-33.16933059692383,-0.6288452562668188,0.015727555,0.05079504083769389,0.1149268,,26.787868
11575,-6.348681926727295,0.25859301334273876,0.85124815,0.2854656698093158,0.869624,2.8041244,26.631924
11592,0.6442627310752869,0.6759952418809518,0.86969125,0.8830505788760776,0.7273802,0.41364968,-85.30731
11639,0.19899654388427734,-0.327901018878479,0.60610884,1.6900668812781117,2.0639448,2.058806,36.526585
12040,0.5211564898490906,0.4195953446076798,0.7832789,1.189479512867379,0.49601683,,439521.78
12092,-19.02195930480957,-0.30487011765804506,0.2928329,0.3543036612689689,0.11361579,0.20236532,-4062.7852
12098,-1.8074090480804443,0.2910646982297932,0.8070244,0.4300510279182119,0.6251562,0.19943099,-20.862875
12123,-3.807623863220215,0.18111245078495564,0.8189525,0.4417745636242999,0.42887568,0.2803667,-140.192
12136,0.564217746257782,0.384261335500406,0.7800379,1.5469079555814709,1.1778833,0.26858374,-7.751563
12222,-1.3292088508605957,0.24804733317670313,0.7595832,0.49375548927856305,0.49865276,0.31295168,-200.54237
12346,0.5055453181266785,0.7387794475287907,0.8204448,0.8142332015162325,0.9614408,0.26334152,-8.39529
12401,-0.9447654485702515,0.20432044267997063,0.8022116,0.5314763883792751,0.38805938,0.37052882,-378.46164
12402,0.6037355065345764,0.3090022230160747,0.8112416,1.623825216369306,0.7704563,0.19986854,-250.84003
12652,0.5231014788150787,0.47510895036022704,0.7495539,1.4068871185881107,1.2173252,0.2434636,3.7354975
1538,-0.24399375915527344,-1.7537666138902193,0.720666,3.0108983813332397,2.8605082,2.1633036,62.17722
1563,0.47683727741241455,0.6820318436463779,0.7318282,1.0249083431603903,0.8309816,,-45.241245
1593,0.24749380350112915,0.16055012339608754,0.69312376,1.4765205668769699,1.6192182,1.3231322,37.148685
19008,-4.809839725494385,-0.20531021222869672,-0.08273296,0.4735693785481664,1.0577308,0.18035561,-3120.097
