,NSE,KGE,r,alpha,beta,RMSE,delta
2090,0.7688649625358394,0.8443813241057943,0.8802375270327618,1.0902841469745985,1.0415077722951556,0.6636701190471987,3.633358209722664
2103,0.7299670973954206,0.8467689495175179,0.884251151951726,0.8998371712167633,1.0070261467108632,0.45350967268434883,0.6645356882618534
84037,-0.13832623950352407,-0.15806884904156582,0.5951162691649337,2.0541873211719053,0.7433256625489478,0.03446865268735182,-56.84630915795845
11350,0.6522549527380591,0.7218102109076578,0.8465712329235636,1.0076928723097702,0.7680733048908083,0.16266764835530131,-64.01789656668488
48058,0.6369764325334928,0.7318904817955006,0.9011089602697767,0.9796328825589088,0.7516283902293481,0.41042988999923524,-68.02212525455926
7200,0.5229252002236519,0.691016074035255,0.842408435846957,0.8431198178847221,0.7854666136195543,0.4076269472627923,-30.280270028966246
10441,0.6829375449010157,0.1730204352295649,0.8974892026736503,1.7775649797709905,1.262258344410914,0.3604783594103221,-25.562707175828244
2198,0.24649830430954323,0.6458690374044879,0.6797044833368746,0.9400508805313453,0.861343504482269,0.4806700185319371,-43.06927270919031
75209,0.3367334710165999,0.5755043317763651,0.9064208377030758,0.6970534759687185,0.7177538019710443,0.778483788686966,-55.92588476206851
5635,-1.5622042258657798,0.2563129092237265,0.5444855953072721,0.536764986745114,0.6380739873959699,1.2297867234921567,-270.7110974437806
77197,0.437477537118207,0.7184169804301825,0.7953422066229009,0.8086217363099313,0.9720975859996431,0.43099821320389553,2.5582972988352206
8582,0.25534005830918827,-0.09418092767158992,0.5077721727454556,1.9708693006963802,1.1111596577983816,0.6786191503124773,-151.1920060257495
75463,0.4996292316288842,0.6816249316409437,0.7231727367422109,1.1519974957822137,0.9596749241070472,0.13920927321143844,-13.191260856816124
75518,0.6082525292839142,0.6176584830453116,0.8304636489665491,1.32593755527058,0.8941360716310206,0.05276494437906534,-20.998985025102034
70509,0.8400086930943775,0.8990161521015863,0.9174936263398865,1.0468624919736176,1.0345592634159109,0.8836573861722155,-5.535881333299171
8321,0.3321916408418224,-0.6637339770206159,0.6536800532103826,2.6020788523417346,1.285335927685005,0.46129416574165166,-82.10786631106774
9191,0.7889333938264481,0.6816814193914263,0.90465565572392,1.2177645662218726,1.2116949892496773,0.7822068014120963,8.968574133426104
84029,-4.175526299426468,0.4138784135412742,0.5578541477085691,1.0013818136244927,0.6152355915557093,0.02842452967169816,-69.22349544567356
49110,0.1817392428083442,0.4865454705568082,0.5796149026590486,1.26868071248045,0.8786632846976392,0.28430163152923826,-26.72873949506292
72588,0.3484071820103526,0.3053852059665515,0.7585198035170718,1.242603912963344,1.6044173791442224,0.6513435090246751,32.61336677424335
5733,0.8192439524230115,0.7894078822512037,0.909513943934599,1.1753395183093902,1.0736027651293278,0.731090098944684,1.3918868356652465
49047,0.6832917163890873,0.1790990900282624,0.9482099203023113,1.7430237184859316,1.3451258399550416,1.0806734272223784,9.941059291911696
75540,-0.7385010557801337,0.3474582687476747,0.6735303508266297,1.0166024003426197,0.43524107842614673,0.2512619104071192,-227.76449057982845
75286,0.8050080583844217,0.6863693705232798,0.9085976541609257,1.2906843125030738,1.074245628731214,0.5601109033154126,-24.623112665867616
75273,0.6407588606402503,0.7327884990226254,0.8201732265141208,1.0720825568576107,1.184033754483,0.4744807495825556,-0.7916684308459128
10453,0.8783531784437071,0.8939330146071899,0.9461434734193096,0.9495605186946169,0.9238059145298936,0.21930283329725453,-17.91334997779524
76462,0.8427844862571839,0.8344362111921366,0.9205785784181699,1.128245375284612,1.0682402350263027,0.3230741511277868,0.08437620018721596
75648,0.22151803765240774,-2.539895265905944,0.6353771180602485,4.516737442744097,1.1745462871302914,0.3970363424176069,-30.111635614492293
5459,0.7960858129427473,0.7919476013588707,0.9310854729399811,0.8744360250805401,0.8491017669326557,0.6361688753070066,-37.3968390740705
75217,0.4538072684914969,0.33629840038544534,0.6749433844565041,1.5785605841303512,1.0102791299764835,1.4391951620185726,-81.38722027306163
3068,0.43292969353899,0.7122435177859081,0.7522553349591793,1.0096006236320287,0.8539376775964564,0.12213346990614174,-29.04697242678549
10231,0.750444648203867,0.8685932629294738,0.8828436015134117,0.9508205609307553,1.0335185264295519,0.21733130381573976,-34.244124450480484
70574,0.7627589265120759,0.7916313224755623,0.8830818789674566,1.0976120222378452,0.8578045293895018,0.6266430917108663,-60.32305718155109
75291,0.7664971463635392,0.684870332137649,0.8843778769361438,1.217019883900208,1.197080192351191,0.7379793602769666,-12.548618675003532
49090,0.7075852328429575,0.7961929649477749,0.8731498075713696,0.9285486991888773,0.8573779546143135,0.8827211987633321,-31.330066497699363
10112,0.8198944055131862,0.9074845951695409,0.9134041667845458,0.9677103499438658,1.004200035704296,0.22412087658640278,3.3067299456480015
75615,0.4555070600622372,0.541754224348255,0.6790960296477127,1.3269977328406688,1.009072785232233,0.19929183332268904,-8.007220048082509
10423,0.6582156161752039,0.5950746851425027,0.9723379390578095,0.6871988500230026,0.7443542263796605,0.30261063541621114,-31.147021057733255
5600,0.691800278968653,0.6232412749006154,0.8367431637852375,1.3325475270743008,1.0686038235408715,0.7868013691766225,-40.3969080821811
49114,0.5135538383041417,0.2531261567926556,0.7493285688003508,1.673690677810175,1.2027935942757941,1.142224393793693,-1.1863821621105284
9372,0.8437862458102691,0.5720555875543148,0.9492237283876847,1.2760187856831462,1.3230662785476635,0.43859097015903314,-1.4761492046987537
72172,0.8497507060302133,0.8835946996861324,0.9218704486946796,1.0858836921530224,1.0083641243508155,0.5001333981196965,-1.8225108870974336
10424,0.8760518171458566,0.9180585475019793,0.9435862035371217,0.9405733758275006,1.000601286612885,0.3025684214218897,-2.5510400055335025
6414,0.38242196420610663,-0.1200896750757694,0.6848309575836982,2.065583854288265,1.1407139097385166,0.1747332160894275,5.62791123745265
75624,-2.3071130826698,0.19963362566377285,0.34909953602846433,0.5820935003638462,0.7944055527704734,0.1269544797013524,-31.662252774124962
78504,0.621016872314435,0.5193914265913296,0.8071464958576838,1.423310050444716,1.1208334720449549,0.03175090403773199,-25.759153670546457
5383,0.8214875878546554,0.6547733201716182,0.9236145403353837,1.3239766176196337,1.0915744137458439,1.2595581700091374,-42.472947827673146
70597,0.7129094671801341,0.635005960826956,0.8522451194619137,1.2971474058318944,1.1519623740154283,1.092738774711862,-48.623578931805014
75607,0.5275160611484786,0.6030816243511739,0.7942924468947709,1.094629676361429,0.67400333763228,0.3946216888709682,-67.45604489864539
77260,-3.474460676854042,0.11664374418885715,0.5724142250067059,0.4236107974728283,0.4849619752735181,0.31877694015756913,-119.03353466486382
2115,0.9001125363946886,0.8364431467232969,0.9722693787073267,0.9458370821923336,1.151816452438658,1.0883065921049455,20.357094466992347
77292,-1.210146291234901,0.42127503560106805,0.8392921080973312,0.45792368973576925,0.8765138398480921,0.13083139389740384,-6.643839700026324
5063,0.8553829618730091,0.8755163960397863,0.9282991629797174,1.0422393894082758,1.0925796500745724,0.8748304576113216,-1.5125340218862335
77152,0.23248861310824498,0.16445483794537086,0.5651360933497889,1.7025748058416015,0.8758317966528909,0.09086158314955005,-19.785103813114855
3079,0.7066724092155705,0.7795066074970766,0.8495684747154856,1.099565201609792,0.873214894540312,0.34899515643193324,-58.71991395443814
4034,0.8668105849058921,0.6305055939742834,0.9622462298453659,1.2337737067825392,1.2836381902011074,0.6869064259814661,27.567634756459828
7056,0.32463957882983885,0.6421338303593824,0.8292228248760048,0.6998916664099607,0.905987554336007,0.6583649608457541,-64.45116723919116
76456,0.81614745279135,0.839015767380524,0.9325310928402191,0.9316929764747144,1.1292208197461326,0.20344135003140335,14.32928334825561
75219,0.6690295588512976,0.7138449328437058,0.9088281744271036,0.7798949700616588,0.8414875510353508,0.6509685049785666,-37.02758445192143
5507,0.6112660450996136,0.6731983972270805,0.8184766728543127,1.07306061190252,0.7382544818619845,1.1896964761930375,-102.66826016681497
76685,0.9047583685637998,0.922948551848155,0.9512202047152262,1.059454343247435,1.004757972602714,0.7885659780036737,-20.860066319261907
10240,0.9191920884033591,0.927695082490503,0.9592442175503464,1.0403486928166876,0.9559664868429029,0.745659493943842,-32.890488381512554
70242,0.9376983645214733,0.9038354960708306,0.9707233538332996,0.9928519102991982,0.9086797140893528,0.5625221217459673,-25.191000371733477
8288,0.8794254916022199,0.8876788308364032,0.9399388121641291,1.0141246315343766,0.9061426958514168,0.2391322321978636,-53.20888542375581
76253,0.7091203460024966,0.8322900169282464,0.8634413646471555,0.9707720309218518,1.0928660506108854,0.3157660735286869,5.758096327316692
75561,0.5893362046389765,0.34479201517306224,0.8267088972230836,1.561317263424405,1.290156211136474,0.3703800538741316,19.18186593581989
11353,-0.09652729484863909,0.4529960835985819,0.8716637548586521,0.6197569919422737,0.6283034200255249,0.2144506879799457,-64.34320267731678
83372,0.23998583657140915,0.6439046348098085,0.7465027859496456,0.7997013032116227,0.8502552049534866,1.3392485288165457,-17.86546933418674
5759,0.7242945527955094,0.8143600911558363,0.8752953660531565,0.9557480090091967,1.1302025012094739,0.7553576565519778,3.827754717400064
10279,0.7677836264275046,0.79169388792018,0.8855622802437935,1.013484340043561,1.1735327554106143,1.5358692128841636,0.9585833582679303
8306,0.8041987725841576,0.47117298397203367,0.9427477903516666,1.502506423441492,1.1544910734361897,0.8471312685025864,1.7239166215955215
72109,0.732933207034185,0.7299717087976099,0.8598288802902898,1.2206363462759244,1.067726936672341,0.7288513054028746,-14.34512976238921
76533,-0.40041982316519986,0.5440189087332601,0.6565580929247234,0.8770091912249609,1.2735684064620143,0.15987506292836978,21.092996435654474
10651,0.7220224757972613,0.5216024269990847,0.8711755285494281,1.4075575081087968,1.2148612831405299,0.3397742091854302,-1.4296402000663906
72508,0.5094154836626938,0.3017083776932815,0.7264925706447435,1.6306880976401263,0.8773729256391287,0.7226198044992638,-136.65590133319347
77146,-1.1082787215222525,0.3617675399303284,0.6893857654999331,0.5914718133590603,0.6205738660392671,0.15785232607712255,-65.80099534592321
76512,-0.5665864215365457,0.47183220847406204,0.9117034585672292,0.49237648384560184,0.8838823759137179,0.10570627555868234,-7.46898107742825
70340,0.8895945081090764,0.9143586447706417,0.9436208887470016,1.0441961900594985,1.046931165807679,0.7365740368424334,-14.644286952415424
78205,-0.060532088016091334,0.5489863883123165,0.631613336172687,0.815547737302297,1.1835263104501599,0.0957959835968672,14.093532389433634
75608,0.7927600041257167,0.7889939914425655,0.9027853218280093,1.104873553958593,0.8448407924892936,0.22012025971196725,-36.00437979230046
10587,0.7506605452828511,0.7720503750858712,0.8785073168334084,1.0514521147627234,0.8141149836002972,0.2617426666798384,-56.37996808602017
12511,0.698698412546168,0.7398718818317516,0.8845001619696193,0.903027314980686,0.7880501860419431,0.3357405205259359,-86.311898464365
75552,0.7140123474899525,0.2813656900263539,0.9078963224499835,1.7101204792443512,1.060671978794448,0.14248913284962397,-7.582494806436335
3003,0.70780347661985,0.44221970956181766,0.8728598909891626,1.5402265483706064,1.055763083824304,0.16484554059301756,-16.363906970701414
80405,0.2584589163630978,-0.3432744271394996,0.8400094482572341,2.2505202458460385,1.463668334792403,0.14736102712665752,-3.095125040279772
10595,0.7339726616399691,0.41015032068671975,0.8959375923531758,1.5554478395230662,1.1690306394411494,0.10634144904930191,-244.36383941096975
9283,0.7509794476003026,0.6271586559437492,0.8875565764373659,1.2731806123089773,1.227463178105112,1.4193628955672797,15.6159695548316
3073,0.8180331281790603,0.6587934372489199,0.9200308143808142,1.3298691237990006,0.9651688504368484,0.42689268572688593,-51.18906738308745
78512,-0.6284564534889954,-1.8080772428534089,0.18781291794051355,3.6148671832634562,1.6229924232755475,0.06878701681461702,19.98794525179007
76076,0.7614254033598994,0.4602313851193135,0.909272898403639,1.4913222199642877,1.2042577460354993,0.9960136042524269,-35.18791433360686
7130,0.05121225113794403,0.5632271545813166,0.8142121907938588,0.7042774266908639,0.7376994699186863,0.0912923208340106,-62.60587213746613
75751,0.3515221552755662,0.6959971290054032,0.7352023956160451,0.8557735919513373,0.9612867269937483,0.5288984175018872,-9.061208813651213
76139,0.6849985227115406,0.6789986556088986,0.8303766804373055,1.2576886825072433,1.088692364209709,0.6273061222108364,-22.66166349527374
