,NSE,KGE,r,alpha,beta,RMSE,delta
10042,0.8063117414712906,0.8871655342008301,0.9043832,1.0088189,1.059256,0.41651705,0.9799445
10044,0.8050202280282974,0.7002560878090676,0.9252498,1.2045006,1.2060057,0.4700083,4.837035
10048,0.7748642563819885,0.769433387703091,0.884886,1.1881665,1.0671052,0.40022787,-1.6290333
10058,0.46000581979751587,0.2334275435559522,0.7837515,1.5074562,1.532314,1.9800953,29.857992
10059,0.3857618570327759,0.20365427620327514,0.62576383,1.6881149,1.1435678,4.1456337,-16.283237
10062,0.7799498587846756,0.8792590705743751,0.89603835,0.96182036,0.95190984,0.4368182,-20.327559
10066,0.8478055149316788,0.7980638643358701,0.96102375,0.81665885,0.92486626,0.6935961,8.609439
10073,0.5593484342098236,0.684152041385377,0.88940126,0.7651526,0.82007074,0.5599895,-29.03572
10075,0.8225298225879669,0.7296192971806488,0.97038585,0.84431326,0.78093296,0.7879454,-38.809315
10078,0.9209684431552887,0.8760501907058942,0.96306425,1.0870092,1.0801792,0.69990355,-3.296678
10100,0.5753233432769775,0.7242687673254209,0.862692,0.847018,0.81623185,0.19952188,-115.52136
10108,0.6086817979812622,0.5382972493020761,0.788294,1.4030035,1.0770599,0.5223017,0.041881155
10110,0.7589797973632812,0.8589331228994459,0.8910671,0.93175817,0.941892,0.7059267,-21.321815
10112,0.5295058786869049,0.23904962406314945,0.8058833,1.6527452,1.3395406,0.36242503,22.478537
10117,0.7607561945915222,0.8548191688586698,0.8852977,1.0041485,0.9110975,0.2888439,-11.9128065
10120,0.7261812388896942,0.8387630156925345,0.8633423,1.0415903,0.92521846,0.26895505,-12.247508
10122,0.6685720682144165,0.7489210675352791,0.908411,0.76798475,0.9713467,0.23023741,3.7486432
10126,0.7708517611026764,0.8170811387589458,0.87858725,1.1312124,0.9612499,0.58475816,-52.118793
10133,0.8379894942045212,0.8697017129675707,0.9170148,1.0803608,1.0602764,0.33038256,3.6393542
10144,0.2915980815887451,0.3741803721229028,0.8190942,0.7764317,1.5558242,0.25236315,45.449123
10148,0.8638755530118942,0.7209542992852064,0.93922967,1.1076945,1.2501507,0.54581475,23.575
10150,0.020686686038970947,0.33078028897923095,0.6333276,0.96461546,1.5587077,0.36332482,38.628025
10176,0.7943101227283478,0.8620977647210062,0.91338104,0.899378,1.0372746,0.37711632,5.7073164
10177,0.5423765182495117,0.7405502388795697,0.8467133,0.7908532,0.99134064,0.4668072,5.508551
10184,0.7621713131666183,0.7638050058240329,0.882999,1.0129201,1.2047728,0.8977736,10.310978
10194,-0.3506789207458496,0.48755138700486966,0.88185126,0.51731575,1.1251414,0.25467613,25.034546
10198,-1.841845989227295,0.3820186754910061,0.83066416,0.41313514,0.9061068,0.55724174,28.268555
