,NSE,KGE,r,alpha,beta,RMSE,delta
10042,0.8328062891960144,0.9047387825297727,0.9181457,0.99578416,1.0485469,0.3869823,3.4647765
10044,0.8291794061660767,0.773920019520143,0.92634636,1.1471472,1.1550323,0.43992725,0.8665554
10048,0.759855642914772,0.8800612487201444,0.88415045,0.96898067,0.99859077,0.4133532,-4.2304053
10058,0.4990059733390808,0.34573332260890466,0.78643817,1.4207337,1.4532542,1.9072508,31.659054
10059,0.4345310926437378,0.060617742518251805,0.67940575,1.86592,1.1727455,3.9776528,-16.733755
10062,0.8569589257240295,0.917344905030471,0.932222,0.96319056,0.97028345,0.35218456,-4.441536
10066,0.8171623051166534,0.8199804513144677,0.93665403,0.85525215,1.0862693,0.76022136,23.082748
10073,0.7487602233886719,0.7825396071628763,0.9180406,0.8602388,0.8549535,0.42284036,-24.131817
10075,0.7204585671424866,0.7127338849147837,0.9442576,0.75156045,0.8669872,0.98890936,-22.307173
10078,0.8620999604463577,0.708878885418591,0.9491086,1.1688716,1.2316116,0.9245281,24.684765
10100,0.7538113296031952,0.8265548965742118,0.86914015,1.1117116,0.9781044,0.15191315,-94.97516
10108,0.5941728949546814,0.5051952139536626,0.7835674,1.4322369,1.1056408,0.53189623,3.7406256
10110,0.778147280216217,0.7420851244594788,0.88737583,1.1828178,1.1428759,0.67727536,-9.88663
10112,0.5384184420108795,0.3961500775392436,0.8184525,1.332092,1.4705211,0.35897592,32.11127
10117,0.8095266073942184,0.890822145797634,0.9022457,1.0390311,1.0289909,0.25772706,4.5201774
10120,0.8172817081212997,0.8214591267457649,0.916686,1.072338,1.1403668,0.21970458,12.171088
10122,0.777921512722969,0.7440740646014163,0.92577815,0.995564,1.2448868,0.18846668,23.670858
10126,0.7260635197162628,0.7931647004413549,0.88198465,0.95447433,0.8363521,0.6393563,-60.26229
10133,0.8084955513477325,0.7551258210153947,0.9098034,1.1616316,1.1603221,0.35919887,12.449787
10144,0.5626823902130127,0.31067269442648016,0.87999445,1.0333693,1.6779803,0.19828257,47.29864
10148,0.7633761763572693,0.628114173499478,0.8881439,1.1485952,1.3220353,0.71962535,15.581417
10150,0.0019006729125976562,-0.05666985197074137,0.64409214,1.3152328,1.9436679,0.36679307,49.674934
10176,0.8162403255701065,0.7030268941383797,0.9138749,1.2653865,1.101713,0.3564462,1.0832711
10177,0.8068229556083679,0.8058000574378581,0.89967334,1.1565413,1.0560623,0.30329213,1.3208277
10184,0.8875645473599434,0.9076898871865504,0.94270116,1.039578,1.0605936,0.6172859,-3.095239
10194,0.7045733630657196,0.6838421754361175,0.96033967,0.7146619,1.1302497,0.11910692,20.685068
10198,-1.5261859893798828,0.4046901582207636,0.8255074,0.43271053,0.9538611,0.525383,38.075172
10202,0.3401719331741333,0.5433693517616544,0.9131685,0.6277242,0.750235,0.23770277,-35.07127
10204,0.7211075723171234,0.23642031145068265,0.91458136,1.3739142,1.6602619,0.6057478,38.728825
10205,0.8272563815116882,0.8484451202070525,0.9272872,0.9123786,1.1000211,0.3099284,11.07222
10209,0.9028387740254402,0.568096853553427,0.97370505,1.093024,1.4209459,0.21731801,37.604362
10211,0.8283532112836838,0.4219435198650122,0.96064353,1.3498175,1.4585063,0.3749874,33.066387
10216,0.8362010568380356,0.7072126586021829,0.92903,1.2661958,1.0991337,0.10646376,-1.5255638
10219,0.8741837739944458,0.8193335297741534,0.93889016,1.1668122,1.0328581,0.1092498,-9.187082
10220,0.9207446873188019,0.9249567480203471,0.9597841,1.0621643,0.987762,0.08057995,-9.288255
10221,0.7479082345962524,0.6507805940345747,0.8728837,1.3204914,1.0555056,0.3389285,-43.001175
10223,0.5193261504173279,0.018668722384276082,0.7914289,1.8553894,1.43338,0.5207372,10.417767
10231,0.7968082875013351,0.8136312011622842,0.91656363,0.90110993,1.134136,0.19620833,-7.1724997
10232,0.8131198287010193,0.8315743829059916,0.9260215,0.9088233,0.8792474,0.81985337,-23.301155
10240,0.8485415279865265,0.7075148431750193,0.93374556,1.2128001,1.1894044,1.0213089,-4.332612
10246,0.8072827756404877,0.847128414894236,0.91935116,0.90580595,1.0894034,0.8816866,10.878972
10264,0.7922240644693375,0.8709181119049706,0.89894754,0.9938117,1.0800765,1.0117863,5.9865727
10266,0.8711944967508316,0.866975544930679,0.9342514,1.1109997,0.9675701,0.85946846,-38.427208
10276,0.7493261992931366,0.839958916313822,0.8850496,0.945463,0.9029162,1.1079786,-40.591362
10279,0.7604445517063141,0.5265981885469444,0.88977665,1.2669947,1.3750652,1.5607711,9.754976
10292,0.6661280393600464,0.6073387363225619,0.83129317,1.1358294,1.3275229,2.9725091,19.274881
10301,0.8104824870824814,0.42987825911821087,0.9520352,1.511751,1.246676,0.36586952,-17.662878
10308,0.7760625183582306,0.6027632619404012,0.8982328,1.3799508,1.0554787,0.2730244,-43.590214
10315,0.7955945134162903,0.7994912714009113,0.91896033,0.95930713,0.8211693,0.40421128,-42.13186
10323,0.5424163937568665,0.7755858640311348,0.80079085,0.8967269,0.99652356,0.2309764,-4.9845953
10343,0.5836453437805176,0.5772546568554444,0.8383758,1.1307979,1.3680804,0.07283611,25.649925
10349,0.8090701103210449,0.7994925765370718,0.90176505,1.1523538,1.0856823,1.0574701,-6.162148
10357,0.6271785795688629,0.7761220709899547,0.8135252,1.0183332,1.122525,0.61441827,-10.348665
10369,-0.30924665927886963,0.46435980073076644,0.75893366,0.6529087,0.6708723,0.82091707,-55.506416
10379,0.8592278212308884,0.879226860629693,0.92929226,1.0273834,1.0940038,0.22896202,-18.235098
10380,0.6814658939838409,0.5389076521053029,0.8370637,1.4308599,1.0204365,0.85984963,-100.08352
10384,0.8193081468343735,0.8368311000274326,0.9065362,1.1059725,1.0815992,1.3157356,-8.11431
10385,0.8048901557922363,0.876277932042974,0.8979105,1.069879,0.99865955,1.162409,-33.010048
10387,0.6578969061374664,0.5448800808360736,0.82419664,1.271387,1.3202755,1.1455574,9.565046
10392,0.6448582410812378,0.5614197429113271,0.86342484,0.97497195,1.416021,0.19855918,29.705816
10394,0.06981301307678223,0.455984987981359,0.8181137,0.65699327,1.3810723,0.3281716,38.22128
10396,0.7956794649362564,0.4538379027360958,0.93547237,1.5145261,1.1714412,0.49339837,-57.71572
10400,0.7717273980379105,0.4125792907824799,0.92009956,1.0792965,1.5765337,0.2995706,46.253525
10402,0.41231608390808105,0.6444117689651723,0.88762903,0.66720057,0.9446801,0.37588832,4.3174047
10404,0.325678288936615,0.6558946813559015,0.76833206,0.7839128,1.1343307,0.35231003,7.278343
10407,0.7611809372901917,0.2828157734264922,0.9389373,1.6392304,1.3193886,0.7218489,-18.174128
10411,0.7832936197519302,0.3767533465707952,0.9386223,1.5684302,1.2481054,1.0834388,-13.901443
10414,0.7414535880088806,0.15103989058620837,0.9533112,1.7779291,1.3367192,0.5738335,7.7530675
10416,0.8914141282439232,0.8736551380928246,0.9453131,1.0960039,0.9387169,0.25558066,-34.140324
10423,0.8441359400749207,0.757345685811797,0.9652865,0.80721533,0.8567863,0.20446928,-11.637585
10424,0.8757636323571205,0.7806505290398978,0.9414707,1.139316,1.1589955,0.30311283,7.077318
10428,0.7970177829265594,0.8382209397621618,0.8955233,1.0811278,0.9068583,0.24372981,-28.969374
10430,0.706345796585083,0.6899891954054431,0.8429006,1.2446903,0.8925145,0.29238588,-506.3292
10432,0.80646812915802,0.8544315536168738,0.8981617,1.1020422,0.97983754,0.22453633,-42.008472
10441,0.7150620222091675,0.3924854233369207,0.8837473,1.561754,1.1999793,0.34192505,-46.164326
10453,0.8490979969501495,0.8743028547081473,0.9391999,0.89339834,1.0271884,0.24439801,2.8380885
10460,0.8794794529676437,0.7317858438450892,0.95476514,1.1814591,1.1922635,0.34072098,19.166155
10461,0.8181908577680588,0.8963635482429143,0.91658723,0.93948954,0.98898596,0.3785429,-3.0206962
10468,0.7995274215936661,0.8852997952172952,0.9049826,0.96322364,1.0526814,0.22797923,2.0818508
10475,0.8828622549772263,0.6326956454022316,0.96877444,1.3611039,0.94049007,0.26341286,-114.10704
10476,0.8704201430082321,0.8666836056598173,0.94612783,0.9240119,0.90462255,0.20782074,-24.179192
10478,0.8975283727049828,0.8750391837585081,0.9582596,0.938627,0.8994699,0.18079479,-28.44345
10489,0.8697019964456558,0.8430070504851599,0.94189495,1.0589845,1.1333845,0.30357772,14.46844
10511,0.6501078605651855,0.7421005800675304,0.9038266,0.7635737,0.96304876,0.37700823,0.11026377
10539,0.05304163694381714,0.23682033445685113,0.8894746,0.61951584,0.34772772,0.25191927,-1386.8591
