,NSE,KGE,r,alpha,beta,RMSE,delta
10042,0.8952263295650482,0.90970011145042,0.9496508,1.0220641,1.0716394,0.30634248,12.74344
10044,0.886187806725502,0.8445704818000961,0.949611,1.0979724,1.1096389,0.35909152,6.8561916
10048,0.7824700176715851,0.8608917157754254,0.8857472,1.0780224,1.0144887,0.39340934,-6.458277
10058,0.4304853081703186,0.4588551982373893,0.71462435,1.3003049,1.34816,2.0334992,24.048595
10059,0.38495421409606934,-0.07380332974874704,0.64706445,1.9763154,1.2744055,4.148358,-6.10828
10062,0.8180851936340332,0.7058932229835753,0.92172253,1.2164832,1.1830477,0.3971677,13.574168
10066,0.9279907941818237,0.9107943523021279,0.96544987,1.0441874,1.0693643,0.47709095,11.833655
10073,0.763746902346611,0.8725425176740347,0.8799921,1.0252506,0.9652735,0.41003504,-8.883411
10075,0.8694544583559036,0.8536386519325365,0.9482522,0.9616594,0.86857015,0.6757941,-27.53333
10078,0.9076816961169243,0.8447214638394489,0.9579972,1.1169363,1.0931294,0.7564528,-11.2084255
10100,0.6098727285861969,0.805185379973052,0.8237657,0.9232118,0.96841234,0.19123374,-45.962124
10108,0.6336922347545624,0.6767237382978739,0.8124993,1.208746,1.1605495,0.5053351,13.031045
10110,0.6577016711235046,0.5547289416499992,0.8288135,1.2615976,1.3170618,0.8412698,1.9356987
10112,0.7148738205432892,0.6132313916528256,0.8724008,1.3039472,1.202298,0.28213674,15.418252
10117,0.7626452147960663,0.6736994590468441,0.8807761,1.303422,0.9861143,0.28770134,-11.828377
10120,0.7574859410524368,0.7866482732530747,0.87078536,1.1686409,1.0195652,0.25311425,-2.111516
10122,0.8752474263310432,0.921291422023482,0.9424917,0.9466771,0.99332887,0.14125574,-1.3568984
10126,0.7418288588523865,0.8027573999533938,0.8755373,1.0473619,0.85449904,0.6206859,-56.22545
10133,0.7850890308618546,0.7175297049365736,0.8924802,1.2572043,0.9544488,0.38051763,-20.476868
10144,0.5171294808387756,0.24030324763421573,0.9101424,0.8298227,1.734918,0.20835379,54.49315
10148,0.7409361600875854,0.16159715046820533,0.95037645,1.5916929,1.591909,0.7529751,27.442728
10150,0.02183222770690918,0.40591025036398565,0.6355166,0.9110882,1.46064,0.36311227,33.822456
10176,0.9266361892223358,0.8938579491537056,0.97199535,0.90594274,0.95956355,0.22522148,-0.6353469
10177,0.8893071264028549,0.8841808479518632,0.95615196,0.8991967,1.0364708,0.22958484,11.49738
10184,0.8242571949958801,0.7102622366115567,0.91313297,1.1189159,1.2495217,0.7717445,19.479937
10194,-0.8140491247177124,0.4278331251313737,0.9027472,0.4622184,1.1694337,0.29514584,33.847622
10198,-0.3867025375366211,0.4984480729506301,0.85702896,0.52207226,1.0519489,0.3892557,48.26404
10202,-0.5883934497833252,0.34648295344092983,0.8942493,0.49589407,0.59778297,0.36880594,-75.88423
10204,0.8546728044748306,0.46328566761751366,0.9586087,1.1221497,1.520988,0.43726724,40.99889
10205,0.8489828854799271,0.7500494095409325,0.9700148,0.8022935,0.85003895,0.28978336,-11.554857
10209,0.9222126081585884,0.715090828326493,0.9729466,0.9929246,1.2835336,0.19444817,33.890602
10211,0.819550633430481,0.4376251379989503,0.941192,1.1964843,1.5236421,0.38448244,40.87004
10216,0.7524716109037399,0.8324722494112051,0.8832028,0.98622876,1.1193076,0.13087562,7.8693433
10219,0.8166320770978928,0.6868137841220618,0.9192806,1.2162414,1.2116829,0.13189065,11.880882
10220,0.8907776176929474,0.8024957953502228,0.9521138,1.0828285,1.1727839,0.0945951,14.153168
10221,0.8018577247858047,0.7140699375055746,0.9027877,1.2623758,0.9411384,0.3004812,-47.752804
10223,0.5884824097156525,0.48078540303155004,0.7809013,1.4137893,1.2244059,0.481823,2.3604286
10231,0.7452200949192047,0.7532369266772965,0.9005042,0.88171107,1.1923547,0.21970859,5.6705127
10232,0.8563871830701828,0.8192640843890634,0.952661,0.87172556,0.8818046,0.7187058,-14.448871
10240,0.886894978582859,0.8366798080941609,0.9450046,1.1532366,1.0129431,0.8825743,-28.940582
10246,0.90423683822155,0.9192593963636188,0.9567227,0.9454018,1.0408063,0.6215173,0.6705112
