,NSE,KGE,r,alpha,beta,RMSE,delta
10042,0.8597635626792908,0.7622435766603856,0.942711,1.1841117,1.1391006,0.35441455,5.976712
10044,0.8365965485572815,0.620659997136923,0.95990855,1.3057697,1.2208991,0.43027028,6.2536077
10048,0.7667123228311539,0.8806957386527443,0.8819199,1.013797,1.0100121,0.40740937,-9.317847
10058,0.40695542097091675,0.4034507522559705,0.726326,1.2584366,1.4628003,2.0750818,30.223427
10059,0.42162102460861206,0.31176329495068456,0.649735,1.5922531,1.0148476,4.022803,-40.068443
10062,0.8751885741949081,0.821230416371384,0.93930495,1.1672373,0.9824967,0.32897818,-22.293829
10066,0.8830570951104164,0.8611004790340032,0.9593692,0.8680769,0.9845561,0.60798675,11.1466875
10073,0.6722113788127899,0.8222434234237783,0.8531077,0.9328055,0.9258047,0.48297998,-14.277081
10075,0.7671178579330444,0.7166736426920095,0.9520504,0.8310059,0.7777037,0.90261286,-40.78486
10078,0.8674457967281342,0.8616394325417462,0.9339781,1.0926026,1.0788004,0.90643084,-10.926824
10100,0.7118866443634033,0.7936039934189407,0.8902568,0.9490077,0.8328009,0.16433991,-129.84003
10108,0.6562430262565613,0.5960841546547382,0.8207488,1.3481337,1.0990957,0.4895332,2.9070272
10110,0.7398291826248169,0.5524843746567254,0.8831623,1.3182031,1.2921746,0.733436,-2.0057242
10112,0.7488715052604675,0.6613537971871217,0.88251793,1.2839835,1.1422414,0.26478237,10.427502
10117,0.7810495644807816,0.8651023126709507,0.886992,1.0589452,0.9558181,0.27632222,-9.77213
10120,0.7204430997371674,0.7762989437960176,0.8540837,1.1481432,1.0824876,0.27175853,3.273851
10122,0.8248011618852615,0.9085572029793795,0.9157669,0.9712162,0.97907007,0.16739672,-2.9120252
10126,0.7628500759601593,0.762683147649504,0.9173694,0.89157283,0.80574495,0.59488016,-65.41934
10133,0.8477873057126999,0.8194333615254934,0.923028,1.1625074,0.9835391,0.3202366,-5.575212
10144,0.6192067265510559,0.2581039609828665,0.917153,1.1706446,1.7172353,0.18502511,49.36801
10148,0.8965672478079796,0.7845273128426105,0.9536905,1.0282353,1.2085346,0.47578007,17.701815
10150,0.16095227003097534,0.2154362234380024,0.68868285,1.1740485,1.6988055,0.33630052,42.922623
10176,0.8608014136552811,0.7015435108525654,0.9432861,1.2834935,1.0741029,0.3102318,-4.458927
10177,0.8695191144943237,0.8280121447074815,0.93545854,1.1518599,1.0485057,0.2492624,-1.296439
10184,0.8702259957790375,0.8789264622581235,0.9337868,1.0525047,1.0867057,0.66317564,-10.211282
10194,0.7156294882297516,0.636075575516673,0.94521844,0.82748944,1.3157215,0.11685693,31.483438
10198,-0.7795653343200684,0.4432197647288826,0.8767222,0.47223032,0.87246186,0.44096115,27.857513
10202,0.04640603065490723,0.4012696486623869,0.9447161,0.5575858,0.60038596,0.28575942,-90.988464
10204,0.8257503658533096,0.727095542770215,0.92641747,0.97114056,1.2612079,0.47880587,15.107801
10205,0.9220466539263725,0.9293207846998186,0.96365404,0.9634369,1.0483494,0.20819855,0.86130273
10209,0.8800700828433037,0.6510640426845513,0.9546543,1.0914657,1.3336676,0.24144211,30.433407
10211,0.8635047823190689,0.6845917718348618,0.94289845,1.0558549,1.3051262,0.3343933,31.188257
10216,0.7710848599672318,0.5316647512855508,0.9191787,1.4019712,1.2263293,0.12585878,9.150569
10219,0.7616759538650513,0.42680019927613655,0.9256719,1.501333,1.2677659,0.15036137,7.60079
10220,0.8476352691650391,0.5730154163227212,0.95928335,1.3809679,1.1884714,0.1117262,5.1822963
10221,0.8800956010818481,0.7948015383871765,0.9437844,1.1396556,0.8605635,0.23374714,-81.65362
10223,0.4482796788215637,0.053590759183409165,0.71308386,1.8289545,1.3552521,0.5578955,0.7918907
10231,0.9139156937599182,0.930934922923345,0.9568549,1.0178442,1.0508927,0.12771045,-28.578396
10232,0.8233000785112381,0.8112166092211973,0.94404,0.83729744,0.92231137,0.79721,-3.27012
10240,0.8983843699097633,0.8967664162366473,0.94844645,1.0802543,1.0394797,0.8365475,-12.626921
10246,0.8993535712361336,0.94339287633671,0.9515358,0.97158366,0.99306446,0.6371669,-0.409474
10264,0.8872842490673065,0.8402658790050015,0.94537085,1.1434431,1.0442122,0.7452182,2.400918
10266,0.8662438541650772,0.7829501687340874,0.93709457,1.2077342,0.999836,0.8758296,-34.61266
10276,0.7329044044017792,0.8443585504925424,0.88050646,0.9240945,0.93531686,1.1436951,-19.719675
10279,0.7704460620880127,0.41689583663382235,0.91061664,1.3653747,1.4455585,1.5278423,14.732884
10292,0.826736256480217,0.7653956242688278,0.9142837,1.1247195,1.1792679,2.1413472,10.707822
10301,0.3173763155937195,0.5363795767566653,0.9295076,0.6060189,0.7660051,0.69437206,-41.347946
10308,0.6703333556652069,0.16358642083361463,0.88746953,1.8121107,1.165532,0.331265,-75.11557
10315,0.9014592990279198,0.8719279856317828,0.95197374,1.1035639,0.94194454,0.28065318,-22.114456
10323,0.759375125169754,0.8626747917643334,0.8921408,0.93009365,1.0483499,0.16749531,2.3885074
