,NSE,KGE,r,alpha,beta,RMSE,delta
10042,0.8167326152324677,0.9082300873244404,0.90853244,0.9985696,1.0073045,0.40515736,-7.265328
10044,0.8465875536203384,0.8630865696910223,0.92862546,1.0360011,1.1111525,0.4169088,3.9085085
10048,0.708190381526947,0.8401571934374182,0.8721422,0.9137838,0.95794207,0.45565373,-4.46074
10058,0.4722183346748352,0.32950032265145324,0.7350165,1.539592,1.2969748,1.9575764,15.584539
10059,0.35772109031677246,0.31243597040425075,0.60518414,1.5360049,1.1719403,4.2392044,-3.497181
10062,0.7779821008443832,0.8436937294661421,0.89232695,1.0364182,0.8927066,0.43876696,-40.555653
10066,0.7780947387218475,0.8521315810511452,0.9095588,0.8844796,0.9815477,0.8375119,5.5008783
10073,0.8638777285814285,0.828534433814337,0.94580144,1.0879399,0.8631441,0.311241,-34.983406
10075,0.4981512427330017,0.6411547858151753,0.8984678,0.70925456,0.81580395,1.3250121,-20.531038
10078,0.8227526396512985,0.7402680467795304,0.92095506,1.1517807,1.1953847,1.0481606,6.6987815
10100,0.4226863384246826,0.6258680957118995,0.887503,0.79511315,0.70786905,0.23263085,-149.33253
10108,0.6244047284126282,0.5719237488819238,0.81134915,1.343922,1.1713995,0.5117012,13.487447
10110,0.5883532464504242,0.3942116359009994,0.7934451,1.4714543,1.3194456,0.9225614,-2.9658468
10112,0.4500681757926941,-0.09114506685109847,0.8344462,1.9475832,1.5150491,0.39182806,30.820843
10117,0.8038538098335266,0.5632620219124331,0.92907095,1.4199893,1.0965302,0.26153678,0.06882993
10120,0.622729480266571,0.5882370222380897,0.7908923,1.3547142,0.99923253,0.31569996,-13.897819
10122,0.8724682331085205,0.9284306685241678,0.937066,1.0030074,1.0339476,0.14282049,3.419314
10126,0.7869607359170914,0.738096323914426,0.90167296,1.183143,0.84067655,0.56382954,-70.84278
10133,0.8561339229345322,0.8879537483186868,0.9287114,1.0452023,0.9263179,0.31133267,-15.657914
10144,0.5114253461360931,0.05296873332874108,0.9178585,0.8979985,1.9379321,0.2095808,61.23612
10148,0.8536226451396942,0.6121167713919756,0.94370663,1.1874931,1.3348594,0.56599706,30.6874
10150,-0.007987737655639648,0.30773612633276637,0.7263896,0.7860368,1.5988208,0.36860552,46.57786
10176,0.8463107049465179,0.49494744542938995,0.96856546,1.4397359,1.246419,0.3259798,12.658332
10177,0.8557839691638947,0.5633342444278626,0.9614556,1.3437811,1.2664692,0.2620536,18.227434
10184,0.5681517124176025,-0.3523827159414028,0.880361,2.094579,1.7851894,1.209763,26.501665
10194,0.6471738219261169,0.5606532917830689,0.9168125,0.929028,1.4255213,0.1301645,36.203487
10198,0.0028987526893615723,0.5629878782498479,0.6963306,0.72150826,1.1456257,0.33007526,32.700577
10202,-0.05268573760986328,0.5090670338957608,0.75875336,0.6530169,0.7501641,0.30023977,-46.347046
10204,0.6621659100055695,0.13215126717015746,0.88845354,1.4161495,1.7533514,0.666692,38.609604
10205,0.8371806293725967,0.44149545055466266,0.9722294,1.4221412,1.3646271,0.30089387,21.398293
10209,0.8553212881088257,0.4047014745557359,0.98036164,1.3382709,1.4894563,0.2651866,36.28268
10211,0.8406464457511902,0.4869511968903186,0.9588875,1.3224998,1.3968914,0.36130977,28.437181
10216,0.7188180983066559,0.5532351233233115,0.8813889,1.3434762,1.2599123,0.139489,12.328919
10219,0.8254199773073196,0.8296523300208665,0.91149354,1.103486,1.1023504,0.12869142,0.6792494
10220,0.9047072604298592,0.9322205667169868,0.95301265,1.001864,1.0488136,0.08835736,0.30043945
10221,0.6277011334896088,-0.06799360444380964,0.8943443,2.0082,1.3361251,0.4118837,-22.602165
10223,0.6176675260066986,0.0996455289443059,0.87014276,1.7250619,1.5177456,0.4644232,16.97676
10231,0.8855505138635635,0.7523915527104059,0.95022106,1.1486815,1.1916398,0.14725545,-11.556917
10232,0.6379084289073944,0.7699846889716684,0.8048174,1.11413,1.0422508,1.1412053,-8.322225
