,NSE,KGE,r,alpha,beta,RMSE,delta
10059,0.38495421409606934,-0.07380351121800088,0.64706445,1.9763155787322482,1.2744055,4.148358,-6.10828
10103,0.48447853326797485,0.7055918457593662,0.75469655,1.01474190346165,1.1621267,0.3389496,19.443174
10111,-0.14407730102539062,-21.046587132169915,0.60447836,22.620673382089652,5.2944207,1.937468,54.553734
10127,0.8060754686594009,0.8061697622036202,0.8990415,1.16382425930837,0.9767804,0.6839949,-14.383636
10137,0.5259760320186615,-0.43834405061203086,0.8891781,2.2915031825327437,1.6233552,2.3105626,7.3771014
10139,0.12853354215621948,-3.3773725438042588,0.8433094,5.0623979790398295,2.6228867,,61.38249
10168,0.36054110527038574,0.4210504311115505,0.7128407,1.01095286498892,1.5025954,0.29179835,33.50196
10172,-14.27688980102539,-0.10672480182482702,0.8966466,0.2473934394545266,0.19517627,0.42076492,-609.50854
10174,0.7725391238927841,0.5712302472445037,0.8978627,1.0364574574162075,1.4148281,0.7407231,28.59115
10277,0.9123021438717842,0.42969247837046975,0.80790406,1.094371360970069,0.4713755,,-40.541706
10287,0.2578169107437134,-0.36603658333662725,0.71567005,1.583111875456358,2.2021618,0.29141262,56.40739
10298,0.6674087643623352,0.6942179130394197,0.8650918,0.911628038238748,1.2597939,0.18987682,22.497744
10305,-15.763065338134766,-0.034250745252443204,0.7873554,0.21581073579096285,0.36007494,0.8065725,-133.12627
10317,0.40980011224746704,0.07068800023436739,0.6790908,1.8334322108415555,1.2569607,0.55473024,-12.849297
10338,0.7624324560165405,0.6917669242098827,0.9395671,0.8661938921851104,0.7289808,0.83747137,-53.514336
10341,-0.07993125915527344,-2.065569862683738,0.42814383,3.911008045654281,1.7724838,,60.572617
10342,-3.6454057693481445,-0.42757960089036806,0.12573084,0.7105275573801396,2.090799,0.11124453,30.643642
10378,0.9478054456412792,0.9623848356807543,0.9737691,1.0128774947028762,0.9763143,0.143802,-8.802622
10444,0.40763676166534424,0.5905503004199739,0.83978736,0.7371617011011422,0.73000556,0.32733256,-216.96062
10488,0.7150729596614838,0.5382973656830794,0.8624463,1.439517818724571,1.0327474,0.5867015,-12.519166
10511,0.8238333463668823,0.736919011484273,0.9357476,1.1080455537075053,1.2311047,0.26751342,20.522158
10519,-4.334282398223877,0.21761434736176377,0.5321725,0.3729979917813306,1.0115422,0.105158865,31.250257
10556,0.19409102201461792,-0.732061920613384,0.62912697,1.9119961842935294,2.4250455,0.9641732,55.010906
10557,-2.885542392730713,0.3009718816143233,0.6628886,0.40355176848061547,0.8612711,0.6637888,0.41481566
10573,,,,,0.0,,
10589,0.6491375863552094,0.2807798885652849,0.87447834,1.5018883236709586,1.4996299,2.9376473,26.309456
10623,0.6522997319698334,0.09195800264443144,0.88293755,1.9001393563170275,0.9757969,0.969956,-386.23587
10660,0.7132726907730103,0.5710869354118693,0.8901962,0.9675484004882101,1.4133478,0.1663299,30.10928
10693,0.04281586408615112,0.51268322588891,0.6189027,0.8500966402870068,1.2641429,0.7039422,15.906957
11332,0.42607879638671875,-0.4802584918775241,0.7552332,2.0908975230002413,1.9701531,0.2723065,67.47838
11364,-1.0586929321289062,0.40497463429425873,0.73447067,0.5069062044813375,0.7989829,0.47616422,-17.73233
11365,0.15532279014587402,0.6167820544385686,0.63588345,0.8811843080694647,1.0125684,0.52612996,-14.777281
11369,0.7615660429000854,0.8080689181376196,0.90155804,0.9152433723812934,0.8587094,0.16798583,-34.060078
11372,-1.570141315460205,-2.4535939178788686,0.5980396,0.9055982922148795,4.428823,0.12038455,89.30021
11384,0.4150997996330261,0.7095387447483323,0.7687602,0.8434135375919841,0.9201465,0.26634812,-488.7721
11386,0.8485253304243088,0.8896385023097988,0.9240181,1.0224771468015552,0.9231808,0.23649925,-31.799507
11390,0.8252063244581223,0.7992748449249327,0.94567657,0.8363081621598638,0.8973134,0.2818284,-33.318123
11496,0.3775399327278137,-2.7181869402965835,0.9146092,3.200911266818224,3.9955988,0.41470698,135.03374
11499,0.3014429211616516,-2.6863888304412673,0.94529706,3.4316087227512564,3.7701533,0.49878067,53.890583
11527,-0.6760905981063843,-0.1939401222587609,0.25661907,0.32950723933274034,0.34937164,,-56.6332
11536,-2.46392822265625,0.2772901419656073,0.82518005,0.4138562648882004,0.6150545,1.0215908,-48.362415
11551,0.5054388642311096,-0.4471176479697909,0.85037476,2.3621302861106424,1.4651482,1.173959,-23.72736
11555,0.12755626440048218,0.4771159290876189,0.8758001,0.6435441184416161,0.63816947,1.2758459,-199.29395
11558,-1.613407850265503,0.2648983206472716,0.67062014,0.533480096797596,0.53713655,1.5198709,-91.28411
11574,-41.78240966796875,-0.6479624951409475,0.033590917,0.03490422460356528,0.07781563,,-30.837744
11575,-0.7479314804077148,0.45505067085325945,0.84194386,0.491097240339195,0.8859561,1.3675864,0.46872658
11592,0.8734700977802277,0.8517308103930143,0.9373864,1.0688461781891032,0.88457257,0.24669741,-62.777096
11639,0.32459402084350586,0.598021544714447,0.7118182,0.9050303707258395,1.263664,1.8905175,15.1285715
12040,0.23323845863342285,0.26798220112314375,0.5498483,1.2308292942288948,0.4709146,,-inf
