,NSE,KGE,r,alpha,beta,RMSE,delta
10059,0.42162102460861206,0.3117633869347476,0.649735,1.5922529820596296,1.0148476,4.022803,-40.068443
10103,-4.576961040496826,0.16882150136391805,0.74479353,0.3758939561101401,0.51397634,1.1148349,-89.02994
10111,0.09704858064651489,-5.328243848981072,0.86157376,7.033858404584847,2.9026458,1.7212305,26.113857
10127,0.7820533812046051,0.7033442118102093,0.9138702,1.0528410927379213,1.278916,0.72512275,24.211786
10137,0.4500383138656616,-0.5414383738975084,0.8288782,2.2426382098915267,1.8958794,2.4887645,19.573738
10139,0.02170807123184204,-5.093326135773947,0.75918233,6.876436821811555,2.593148,,58.562702
10168,0.3186947703361511,-0.8742536156929128,0.7744141,2.701055805673782,1.7538878,0.30119473,27.953642
10172,-0.8347674608230591,0.2548621150471456,0.8349399,0.7048564262487304,0.33601514,0.1458185,-425.04993
10174,0.8054645359516144,0.36329545363857796,0.9319032,1.2480265782105726,1.5824417,0.6850179,31.520779
10277,0.7965838462114334,0.3917813374165826,0.8239589,0.8799204629777214,0.4303331,,-25.24165
10287,0.053763508796691895,-1.5307504342498266,0.70360076,2.9840335647303746,2.5428727,0.329043,55.849052
10298,0.5172456800937653,0.66237696239863,0.88414717,0.727531271991283,0.83774024,0.22875975,-19.625889
10305,-20.38543128967285,-0.0887926932638039,0.9091775,0.1959547134130912,0.27148646,0.9110154,-219.72183
10317,0.6960237324237823,0.4177959882319975,0.8782009,1.526407221878069,1.2168454,0.3981091,-2.2204638
10338,0.666342705488205,0.6993105094584271,0.86402994,1.0371951368259724,0.734401,0.99249136,-65.708786
10341,-0.027231693267822266,-2.7850853419228336,0.39701286,4.729586870582732,1.2312127,,36.9117
10342,-1.590447187423706,-0.4270821068223427,0.19240956,1.843956261725603,1.8198164,0.08307192,9.9529915
10378,0.9046201631426811,0.6984718700196649,0.97261363,1.2965033932199688,1.0474862,0.19439301,-14.594813
10444,0.864465743303299,0.7151699095931083,0.9461056,1.0747884665772787,0.7305,0.15657403,-375.34854
10488,0.8260710835456848,0.7711003750994847,0.91570544,1.1893852100545268,0.90292937,0.45839116,-26.680456
10511,0.4861372709274292,0.6789088522433747,0.88388747,0.7007435299915332,1.0079354,0.45688537,8.074917
10519,-87.58966064453125,-0.24064837085748048,0.5032752,0.10393495339333034,0.30032843,0.42854786,-151.16618
10556,0.04536336660385132,-2.948943820664095,0.75701064,4.369374343619368,3.045099,1.0493759,56.85466
10557,0.11817282438278198,-1.2368831639220699,0.719216,3.0513322882160745,1.8466655,0.31622472,34.548115
10573,,,,,0.0,,
10589,0.7197875678539276,0.506837539535463,0.88318825,1.3351921273368463,1.3423601,2.6252759,19.393902
10623,0.3596034049987793,-1.888590318553482,0.83809316,3.8656485632687443,1.3252668,1.316358,-348.8108
10660,0.7029865384101868,0.6067389780515275,0.87138474,1.049359888020801,1.3683422,0.1692871,18.845678
10693,0.09771591424942017,0.5243840692437574,0.58287245,0.9511000715091391,1.2232127,0.68345654,-1.4302962
11332,0.18078219890594482,-1.519821021444106,0.5532051,3.3134000906580954,1.8933377,0.32533556,-70.17423
11364,0.41383790969848633,0.6042304006456501,0.90627384,0.6685633909263073,0.8050673,0.2540796,-16.839155
11365,0.6138488054275513,0.6808584026253043,0.7839436,1.2346837512443292,0.9902776,0.35573485,-18.054567
11369,0.7246228456497192,0.6884137732774204,0.9330482,0.8054984625894439,0.76596457,0.18053131,-47.517525
11372,-2.315636396408081,0.27942541198344506,0.6312347,0.4467933495477207,1.277853,0.13673377,35.402695
