Модель,Объектов в выборке,Максимум NSE,Медианный NSE,Средний NSE,Минимум NSE,NSE < 0,"Плохие модели, %"
Temporal Fusion Transformer (все посты),919,0.95,0.79,0.75,-2.72,5,5%
Temporal Fusion Transformer (для поста),909,0.99,0.75,0.49,-115.51,39,17%
LSTM физ. гео ERA5,911,0.95,0.68,0.03,-116.63,105,32%
LSTM физ. гео MSWEP,911,0.95,0.68,-0.11,-113.71,115,32%
LSTM физ. гео ERA5-Land,911,0.95,0.67,-0.00,-273.15,104,32%
"GR4J, OpenForecast 2021",393,0.96,0.64,-190.77,-51507.55,71,38%
LSTM физ. гео GPCP,911,0.93,0.62,-0.06,-179.63,117,37%
LSTM физ. гео IMERG,755,0.91,0.59,-0.21,-97.60,139,40%
"HBV, OpenForecast 2021",393,0.94,0.53,0.44,-0.38,29,45%
LSTM ERA5-Land без физ. гео,911,0.89,0.44,-0.06,-28.64,172,58%
RandomForestRegressor ERA5-Land,1013,0.95,0.39,-51.01,-44964.33,323,61%
GR4J ERA5-Land,1013,0.90,0.36,-0.06,-211.28,180,68%
HBV ERA5-Land,909,0.89,0.24,0.03,-8.35,298,83%
