,NSE,KGE,r,alpha,beta,RMSE,delta
10059,0.35772109031677246,0.3124356460038945,0.60518414,1.5360053170590708,1.1719403,4.2392044,-3.497181
10103,0.7094723880290985,0.8105726800273618,0.8761444,1.0112558518957648,0.8571161,0.25445175,-37.570263
10111,-0.027302145957946777,-10.237241373024274,0.77438307,11.965549629602213,3.4456925,1.8359293,29.803265
10127,0.5686110556125641,0.02517758168612194,0.8891594,1.871504840333001,1.42246,1.0201663,21.527113
10137,0.6515744030475616,0.034228715380557606,0.8896647,1.5643115409513595,1.7759464,1.9809461,35.14869
10139,0.5849955081939697,-0.31822184983615154,0.89659226,2.0896376890618384,1.7346464,,60.432972
10168,0.06400918960571289,-2.4322544517585736,0.75953144,3.950799325426743,2.7364702,0.35303056,55.020355
10172,-0.2975531816482544,0.3369264628047195,0.90766126,1.0098197515359086,0.34346086,0.1226266,-432.68732
10174,0.7902960032224655,0.37019407839869145,0.9411887,1.4570994824159085,1.4292514,0.7112232,14.143338
10277,0.8055245578289032,0.38062067627038343,0.8668772,0.9347363357932366,0.3986268,,-79.18473
10287,0.029152095317840576,-1.0088930108068208,0.59263027,2.2725550362797304,2.5001016,0.33329472,56.785957
10298,0.765028789639473,0.8701973315408684,0.8824603,1.0080651173341488,1.0544803,0.15959668,-3.5996277
10305,0.5477910041809082,0.3737156005394102,0.84917915,1.5002289417037824,0.65466505,0.13247573,-114.36554
10317,0.6547284722328186,0.5281668918250582,0.81824833,1.4353913140533998,1.005217,0.42428988,-37.789604
10338,0.3375663757324219,0.48579908789035886,0.94516784,0.6397592126206534,0.6372017,1.3984522,-70.23146
10341,-0.0005112886428833008,-0.6881999114856805,0.2834607,2.5210396581277528,1.1517522,,47.745296
10342,-3.5641727447509766,-1.1397564134389668,0.101004384,1.3830648610861134,2.9035823,0.11026757,47.77422
10378,0.8362201750278473,0.41204641448473067,0.97706646,1.495795068644497,1.3151995,0.25473145,12.633284
10444,0.45028239488601685,0.6071909045267367,0.8484373,0.7457916853410216,0.7417252,0.31532976,-159.28345
10488,0.6648067831993103,0.7588258950797014,0.81675243,1.1567888181824226,0.99840474,0.63635284,-11.012432
10511,0.7855075746774673,0.8433971327745506,0.9106359,0.9174532759774977,1.0986131,0.29518187,12.786478
10519,-34.87960433959961,-0.1426903817780658,0.56706834,0.159737247038953,0.35791746,0.27272928,-149.80544
10556,0.4113811254501343,-0.13023709259242366,0.74289906,1.678878375206738,1.8662905,0.82400364,40.065018
10557,0.023071467876434326,-1.1210701294591479,0.7363366,2.5686344490391977,2.4031415,0.33283997,53.892536
10573,,,,,0.0,,
10589,0.5575704872608185,-0.06811659022466388,0.86778194,1.541189669234362,1.9113206,3.2987795,38.285595
10623,0.399273157119751,-1.5279855903205668,0.84633493,3.522320635714587,0.92931193,1.274935,-488.62637
10660,0.5670044124126434,0.25390794112632875,0.8301171,1.130117788753979,1.7147465,0.20439842,35.49947
10693,0.3806604743003845,0.42739391911074787,0.65895885,1.312648735946305,1.3373713,0.56624407,6.8611274
11332,0.2299996018409729,-2.9268892891577107,0.8886751,4.347036150297308,3.050711,0.31541136,44.788486
11364,0.6111896932125092,0.7875328930976049,0.8397357,0.8800499695968497,0.9287988,0.20693302,-9.599396
11365,0.5157526433467865,0.35120630415811893,0.7261903,1.5821327535462661,1.0841604,0.39836514,-18.159792
11369,0.6257941424846649,0.6781125212925792,0.89412534,0.8015370640579452,0.7697511,0.21044756,-48.215958
