Сумма за дней:,Источник реанализа,Объектов в выборке,Максимальная корреляция,Медианная корреляция,Средняя корреляция,Минимальная корреляция,Корреляция < 0
1 день,prcp_e5,910,0.52,0.05,0.09,-0.07,202
1 день,prcp_e5l,910,0.53,0.05,0.09,-0.07,201
1 день,prcp_gpcp,910,0.45,0.02,0.05,-0.06,294
1 день,prcp_imerg,910,0.42,0.02,0.05,-0.05,280
1 день,prcp_mswep,910,0.54,0.04,0.07,-0.06,242
7 дней,prcp_e5,910,0.77,0.13,0.19,-0.14,159
7 дней,prcp_e5l,910,0.77,0.13,0.19,-0.14,158
7 дней,prcp_gpcp,910,0.71,0.08,0.15,-0.11,233
7 дней,prcp_imerg,910,0.72,0.08,0.15,-0.10,232
7 дней,prcp_mswep,910,0.73,0.11,0.17,-0.11,186
30 дней,prcp_e5,910,0.91,0.19,0.27,-0.31,174
30 дней,prcp_e5l,910,0.91,0.19,0.27,-0.31,174
30 дней,prcp_gpcp,910,0.90,0.14,0.23,-0.20,230
30 дней,prcp_imerg,910,0.92,0.12,0.21,-0.18,254
30 дней,prcp_mswep,910,0.90,0.17,0.25,-0.16,182
