,NSE,KGE,r,alpha,beta,RMSE,delta
83262,0.8979029208421707,0.910589268231689,0.9477540254592896,1.071364282317888,0.9868936538696289,1.3633958101272583,-14.839191436767578
70209,0.9195535778999329,0.7617445793371869,0.9717076420783997,1.2182002605883868,1.0913993120193481,0.6670525670051575,4.340576648712158
79261,0.8378289937973022,0.7141608810563628,0.9265422224998474,1.2742450955756648,1.0331298112869263,0.25335782766342163,0.3528123199939728
83340,0.9085069894790649,0.8763168351871855,0.9552314281463623,1.1103661213622982,1.033355951309204,1.4500033855438232,-6.6226911544799805
70410,0.9633867777884007,0.8748794307807914,0.9859573245048523,1.1134491356290233,1.0508650541305542,0.5280221104621887,1.5713560581207275
72588,0.9699222892522812,0.9490237319830267,0.9856944680213928,1.0415475527257032,1.0258405208587646,0.1399986892938614,1.4596160650253296
5458,0.9846954802051187,0.9549050046537214,0.9929289221763611,1.0401415061958823,1.019292950630188,0.264570027589798,2.0271103382110596
11676,0.9941310524009168,0.9743405986592262,0.9971794486045837,0.9947878994145973,1.0249656438827515,0.03867894411087036,9.869647979736328
4158,0.9259053990244865,0.9319889868415028,0.966884195804596,0.942881213590205,0.9836817383766174,0.44894352555274963,-4.552812576293945
4107,0.6965497136116028,0.6752658264347795,0.8366557955741882,1.2773026568057906,1.0432919263839722,1.955594778060913,-3.319593906402588
10220,0.9944622218608856,0.9744850273296992,0.9974496960639954,1.0182390483169224,1.0176591873168945,0.021353619173169136,1.1184931993484497
7020,0.9868730688467622,0.9761798850462731,0.99367356300354,1.0179950242793132,1.0142672061920166,0.10776697844266891,0.1174524575471878
73110,0.9890505885705352,0.9702781794910113,0.9951231479644775,1.0172475450002894,1.0237091779708862,0.04110725596547127,2.3985307216644287
75387,-0.5149588584899902,0.4863109360575012,0.6915010809898376,0.5927477728759227,0.9466099739074707,0.1244724839925766,4.673158168792725
71104,0.8894490599632263,0.5801943627670098,0.9827972054481506,1.4067471198896917,1.102457880973816,0.758453905582428,-0.5635697841644287
70586,0.9819873943924904,0.9272937377158953,0.9925180077552795,1.0582210488067125,1.0429013967514038,0.27327701449394226,3.7477612495422363
6077,0.907933883368969,0.6792419820026707,0.9775977730751038,1.3002572908022973,1.1105866432189941,0.16836364567279816,-3.5162405967712402
3407,0.9816622883081436,0.9000389338208751,0.9929371476173401,1.0732556778391162,1.0676456689834595,0.1277303695678711,-41.28592300415039
84347,0.9535111337900162,0.9606078925231554,0.9767020344734192,1.0262413814933733,1.0178978443145752,0.3212411105632782,0.6515768766403198
78504,0.9898529825732112,0.953562742775526,0.9961348176002502,1.0335877356109886,1.0318330526351929,0.0052026971243321896,3.327575445175171
5635,0.8250394463539124,0.8978718484810873,0.9152551293373108,0.9780432583946184,0.9474037289619446,0.322274386882782,-25.989540100097656
48069,0.9602469019591808,0.897057153569869,0.9829678535461426,1.0912817451373364,1.0444384813308716,0.4257916212081909,0.3930627107620239
83266,0.7886160910129547,0.8493575697533393,0.888273298740387,1.1010019377917803,1.0029823780059814,0.8028353452682495,-2.380875587463379
9404,0.9912585709244013,0.9548959838745985,0.9958106279373169,0.9978716923999701,1.0448585748672485,0.057166192680597305,15.941047668457031
78261,-2.7121973037719727,-1.0002902888813132,0.47761934995651245,0.6099490016633782,2.891068458557129,0.007861990481615067,70.80410766601562
72102,0.9724548868834972,0.9120723288446207,0.9889154434204102,1.0773252337637071,1.0403635501861572,0.28058308362960815,-0.04474937543272972
4032,0.9767576884478331,0.9873621893427091,0.9883629083633423,1.0027725967278711,1.0040749311447144,0.12706978619098663,-0.3830680549144745
10511,0.9911896865814924,0.9863011272507054,0.9957035779953003,1.002184941378036,1.0128228664398193,0.059940386563539505,1.5011215209960938
75624,0.8924408331513405,0.9368838716286466,0.9492095112800598,0.9637712923759842,1.0095630884170532,0.022913318127393723,0.8984819650650024
78013,0.9912428604438901,0.981919082835648,0.9964281320571899,1.0100727073698947,1.0145843029022217,0.005335935391485691,1.4390606880187988
10688,0.9787962008267641,0.9347917270823942,0.9905787110328674,0.9975096395755266,1.0644760131835938,0.04550556838512421,9.951231002807617
4102,0.8636712729930878,0.8840459270150879,0.9294672012329102,1.0913912480847463,0.9891321063041687,1.165486454963684,-8.723878860473633
77130,0.4081982374191284,0.5846591179887382,0.6587956547737122,1.227141554870767,1.067039966583252,0.3245207965373993,5.950100421905518
80118,0.9914451511576772,0.9847817270101777,0.9959174990653992,0.9943602844077434,1.013532280921936,0.02210216224193573,1.4861395359039307
78050,0.922003798186779,0.9586200203737539,0.9641898274421692,1.0180297702960073,0.9897598028182983,0.011836966499686241,-1.1164027452468872
8059,0.8743527829647064,0.9326366360784808,0.9360736608505249,1.0212347944213305,1.000573992729187,0.014664148911833763,-0.08225453644990921
3637,0.9796038214117289,0.9458230089915107,0.9906073212623596,1.0500253626594074,1.0185576677322388,0.08729422837495804,0.7485233545303345
79051,0.9436324201524258,0.9372708312985576,0.9752011895179749,0.942387504047837,1.0008763074874878,0.10616817325353622,5.464570045471191
1596,0.976088622584939,0.9131123927846972,0.9901463389396667,1.079804220088276,1.0329188108444214,0.13546809554100037,8.967862129211426
10221,0.9746698532253504,0.9753593167150825,0.987281084060669,1.0186295285628408,1.0099163055419922,0.10774624347686768,2.7477362155914307
10357,0.9854049431160092,0.9493466892091553,0.9933663010597229,1.0346858064627744,1.0363131761550903,0.12187673896551132,3.585416555404663
6295,0.9837633930146694,0.9377900741471787,0.9932709336280823,1.060253698206177,1.0139386653900146,0.08068998157978058,0.3117385804653168
10209,0.9936578972265124,0.9670055538613722,0.9972385168075562,0.980627713607255,1.026565432548523,0.05568254366517067,5.016580581665039
72738,0.9953201832249761,0.98752662324354,0.9979110956192017,1.0094186913343182,1.0079063177108765,0.029991090297698975,0.7162812948226929
80172,0.9786140359938145,0.9740595536288438,0.990012526512146,0.9868879174202919,1.0200307369232178,0.012934058904647827,2.8241207599639893
72076,0.9873955706134439,0.9229173564713818,0.995993435382843,1.0743686556719465,1.0198742151260376,0.11103735119104385,-3.1676528453826904
12476,0.9262086376547813,0.906615059904851,0.9633508920669556,1.0841969479764733,1.016984224319458,0.31635090708732605,-3.9653890132904053
72761,0.8958748355507851,0.7159784372202054,0.9640843272209167,1.2653116637496007,1.0948052406311035,0.3733939230442047,-0.03857859596610069
72007,0.9626117460429668,0.8822006562007889,0.9858108162879944,1.1074284692300138,1.0462003946304321,0.19796441495418549,-1.0404739379882812
9283,0.9305925145745277,0.9115346435421199,0.9656549692153931,1.0772236307701846,1.0261352062225342,0.7509011030197144,-0.13446933031082153
9397,0.9649130664765835,0.8917359941340414,0.985605001449585,1.098926851777439,1.041561484336853,0.36884844303131104,-1.179818034172058
76416,0.9684581831097603,0.9700291850579721,0.9843307137489319,1.011109522330772,1.023006558418274,0.12291031330823898,2.3977367877960205
72198,0.9816834572702646,0.9193925685169698,0.9929457902908325,1.0675337347196208,1.043439507484436,0.13715223968029022,-3.974182605743408
72649,0.9758608639240265,0.958446377842056,0.9883955121040344,1.0382015155697928,1.0115188360214233,0.06505653262138367,0.270753413438797
9294,0.9396135173738003,0.8650918756891752,0.9735538959503174,1.1215289368334347,1.0522639751434326,0.24625270068645477,0.3130471408367157
4148,0.9373465552926064,0.9454221388777998,0.9712545275688171,0.9536174682652878,0.9989504814147949,0.7888845801353455,1.6833058595657349
10246,0.982026819139719,0.9562374847185472,0.9914843440055847,1.0385323265096436,1.0189182758331299,0.2698991298675537,-0.5750352740287781
2193,0.9750845227390528,0.9751912736211463,0.9875182509422302,1.018569712983512,1.0107165575027466,0.30767083168029785,0.02728928066790104
76648,0.9681595750153065,0.9820492411606622,0.9839862585067749,1.0080297495414479,1.001145839691162,0.06269489228725433,-0.1029956191778183
77245,0.9129777029156685,0.8541696577444682,0.9741824865341187,0.8628044572142264,1.0421583652496338,0.033603813499212265,4.22810697555542
76466,0.8723537921905518,0.8305997389872044,0.9369434118270874,1.1552966973455008,1.0245611667633057,0.3527093827724457,-2.449822187423706
75227,0.9666914492845535,0.9559813965230144,0.983832597732544,1.0212957016775646,1.0349677801132202,0.14954160153865814,3.5792508125305176
84448,0.9934147917665541,0.9331422722069845,0.9987680912017822,1.0587781185966152,1.0318366289138794,0.16783492267131805,0.9192845821380615
83063,0.9874195884913206,0.9825840834018597,0.9939330816268921,0.9994172141306763,0.9836853742599487,0.008413707837462425,-5.280787944793701
