,NSE,KGE,r,alpha,beta,RMSE,delta
83262,0.8371531665325165,0.8420390734889422,0.9269157648086548,1.018010528003098,0.8611260652542114,1.7218881845474243,-77.96112060546875
70209,0.606710821390152,0.5031757758618186,0.7846869826316833,1.4463325387355426,1.0355229377746582,1.474900484085083,-61.12371826171875
79261,0.17144542932510376,-0.5114714406748992,0.4632062017917633,2.396309695024842,0.783857524394989,0.5726751089096069,-97.65458679199219
83340,0.7544449120759964,0.4263050338172447,0.9114360809326172,1.5650776454408577,0.9556198120117188,2.375469923019409,-68.30137634277344
70410,0.692335456609726,0.5336862425730617,0.8462948203086853,1.4361152889342355,1.0602220296859741,1.5306355953216553,-21.202465057373047
72588,0.6744942963123322,0.837917453764437,0.8387593626976013,0.9919509801846337,0.9855978488922119,0.4605543315410614,-21.298112869262695
5458,0.9359704181551933,0.8760684925422325,0.9706006050109863,1.1203159178671498,0.9956670999526978,0.5411543250083923,-99.24626922607422
11676,-0.9116718769073486,0.14611657566605996,0.4405919015407562,1.1019232700534245,0.3629826307296753,0.6980735063552856,-1219.5447998046875
4158,0.2347339391708374,0.5532911920553121,0.7813710570335388,0.818420646644505,0.6553565859794617,1.4427950382232666,-104.19925689697266
4107,0.21064823865890503,0.23243431692344318,0.579985499382019,1.5188473696612126,0.6211302280426025,3.1540632247924805,-151.8754119873047
10220,0.6011429727077484,0.5870237681356693,0.9525173902511597,0.7468515672934393,0.6771832704544067,0.1812225878238678,-67.36869812011719
7020,0.8703148365020752,0.8626622561964216,0.9571160078048706,0.9990741520979946,0.8695325255393982,0.33872658014297485,-39.05463790893555
73110,0.3859403729438782,0.6751071639514147,0.8341864943504333,0.8559327624754812,0.7606135606765747,0.30784234404563904,-62.878658294677734
75387,-21.18759536743164,-0.29139049363415026,0.14993080496788025,0.5151293293992915,0.15740151703357697,0.4763520359992981,-842.57861328125
71104,0.5498622059822083,0.13149841761227743,0.7788853645324707,1.8365908944541751,0.9257100820541382,1.530455470085144,-48.15465545654297
70586,0.7858431190252304,0.7721163030903151,0.8910760879516602,1.1706554006606136,0.8953897953033447,0.9422819018363953,-59.056983947753906
6077,0.6557540893554688,0.17991394767170676,0.8776760697364807,1.7766494526578815,1.2332243919372559,0.3255613148212433,-55.27217102050781
3407,0.8820008784532547,0.7990154389103423,0.9456650018692017,0.984397118914957,0.807129442691803,0.3240119218826294,-2315.0419921875
84347,0.9292323812842369,0.9002045338406214,0.9653967618942261,1.0927311906024662,0.987245500087738,0.39634549617767334,-11.63370132446289
