"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"75676","ВЕТЛУГА","57.85","45.8","2023-02-27 08:00:00","12.0","0.0","","","","","","","","2023-02-27 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004056","Р.BETЛУГA","","1"
"75658","КАМКИНО","55.53","45.21","2023-02-27 08:00:00","202.0","-10.0","","","","","1","1","","2023-02-27 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","2"
"75658","КАМКИНО","55.53","45.21","2023-02-25 08:00:00","215.0","-5.0","","","","","1","1","","2023-02-25 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","3"
"75658","КАМКИНО","55.53","45.21","2023-02-26 08:00:00","212.0","-3.0","","","","","0","0","","2023-02-26 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","4"
"75658","КАМКИНО","55.53","45.21","2023-02-24 08:00:00","220.0","-7.0","","","","","0","0","","2023-02-24 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","5"
"75658","КАМКИНО","55.53","45.21","2023-02-23 08:00:00","227.0","9.0","","","","","0","0","","2023-02-23 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","6"
"75658","КАМКИНО","55.53","45.21","2023-02-22 08:00:00","218.0","10.0","","","","","1","1","","2023-02-22 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","7"
"75658","КАМКИНО","55.53","45.21","2023-02-21 08:00:00","208.0","15.0","","","","","2","2","","2023-02-21 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003935","Р.ПЬЯHA","","8"
"75646","ТУРГЕНЕВО","54.85","46.35","2023-02-27 08:00:00","173.0","0.0","","","","","","","","2023-02-27 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003778","Р.AЛATЫPЬ","","9"
"75646","ТУРГЕНЕВО","54.85","46.35","2023-02-25 08:00:00","173.0","0.0","","","","31","","","3","2023-02-25 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110003778","Р.AЛATЫPЬ","","10"
