"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-25 08:00:00","264.0","-1.0","266.0","1.7","-1.0","","0","0","","2023-02-25 06:00:00.0","","","","","","","","1"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-24 08:00:00","265.0","-2.0","267.0","1.5","-1.0","","992","2","","2023-02-24 06:00:00.0","","","","","","","","2"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-22 08:00:00","267.0","2.0","266.0","2.1","1.0","","42","4","","2023-02-22 06:00:00.0","","","","","","","","3"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-23 08:00:00","267.0","0.0","267.0","2.8","1.0","","9","2","","2023-02-23 06:00:00.0","","","","","","","","4"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-21 08:00:00","265.0","1.0","265.0","2.0","1.0","","43","4","","2023-02-21 06:00:00.0","","","","","","","","5"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-20 08:00:00","264.0","1.0","264.0","2.2","2.0","","38","4","","2023-02-20 06:00:00.0","","","","","","","","6"
"82050","КРАСНАЯ ПОЛЯНА (ГП ПРИ КРАСНАЯ ПОЛЯНА СФМ)","43.68","40.2","2023-02-19 08:00:00","263.0","1.0","263.0","0.9","0.0","","26","4","","2023-02-19 06:00:00.0","","","","","","","","7"
"82033","ДАГОМЫС","43.66","39.68","2023-02-25 08:00:00","280.0","-4.0","282.0","","","","","","","2023-02-25 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","8"
"82033","ДАГОМЫС","43.66","39.68","2023-02-24 08:00:00","284.0","-10.0","288.0","","","","","","","2023-02-24 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","9"
"82033","ДАГОМЫС","43.66","39.68","2023-02-22 08:00:00","314.0","11.0","305.0","","","","","","","2023-02-22 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","10"
"82033","ДАГОМЫС","43.66","39.68","2023-02-23 08:00:00","294.0","-20.0","306.0","","","","","","","2023-02-23 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","11"
"82033","ДАГОМЫС","43.66","39.68","2023-02-21 08:00:00","303.0","-10.0","382.0","","","","","","","2023-02-21 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","12"
"82033","ДАГОМЫС","43.66","39.68","2023-02-20 08:00:00","313.0","-27.0","333.0","","","","","","","2023-02-20 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","13"
"82033","ДАГОМЫС","43.66","39.68","2023-02-19 08:00:00","340.0","65.0","281.0","","","","","","","2023-02-19 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100064","P.ЗAПAДHЫЙ ДAГOMЫC","","14"
"82034","ПЛАСТУНКА","43.7","39.76","2023-02-25 08:00:00","342.0","-5.0","345.0","","","","","","","2023-02-25 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100067","P.COЧИ","","15"
"82034","ПЛАСТУНКА","43.7","39.76","2023-02-24 08:00:00","347.0","-11.0","352.0","","","","","","","2023-02-24 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","109100067","P.COЧИ","","16"
