gauge_id,NSE,day,static,encoder,decoder
10620,0.6775651996151542,365,for_pc_sse,q_mm_day,t_max_e5l
8306,0.5631177186340914,1,cly_pc_sav,q_mm_day,t_max_e5l
78614,-1.7880535144779088,2,cly_pc_sav,q_mm_day,prcp_e5l
5287,0.8411769540628297,187,snd_pc_sav,q_mm_day,prcp_e5l
2198,0.9495415692887391,365,rev_mc_usu,q_mm_day,t_max_e5l
10566,0.8440256035463317,62,for_pc_sse,t_min_e5l,t_min_e5l
77112,0.28462572495494565,1,slp_dg_sav,q_mm_day,t_max_e5l
76646,0.5461640862501969,1,urb_pc_sse,q_mm_day,t_max_e5l
78275,0.7849614513791847,1,slt_pc_sav,prcp_e5l,t_max_e5l
75033,0.20175399358579582,274,gwt_cm_sav,q_mm_day,t_min_e5l
71199,0.9162950470278779,154,sgr_dk_sav,q_mm_day,t_min_e5l
75236,0.2411950673481832,4,lka_pc_use,q_mm_day,t_min_e5l
11637,0.9177846423190642,362,inu_pc_ult,prcp_e5l,t_min_e5l
76489,0.6990695483565245,30,for_pc_sse,q_mm_day,t_min_e5l
70175,0.5517249095806658,351,prm_pc_sse,t_min_e5l,t_max_e5l
8379,0.7728844022900532,1,lkv_mc_usu,t_max_e5l,t_min_e5l
70242,0.6930309743043017,1,rev_mc_usu,q_mm_day,t_max_e5l
82060,0.8394617085809346,1,sgr_dk_sav,q_mm_day,t_min_e5l
7029,0.6167784475377617,8,cly_pc_sav,q_mm_day,t_max_e5l
78004,0.1448283552661479,1,kar_pc_sse,prcp_e5l,t_min_e5l
76324,0.00196749349254155,190,lkv_mc_usu,prcp_e5l,t_min_e5l
12115,0.6967089618088702,235,pst_pc_sse,prcp_e5l,t_min_e5l
2128,0.8601634988652612,15,sgr_dk_sav,q_mm_day,t_min_e5l
7022,0.8132412918403141,181,inu_pc_ult,t_max_e5l,t_max_e5l
75520,0.7554065617784836,2,slt_pc_sav,q_mm_day,prcp_e5l
72623,0.613755971277206,2,inu_pc_ult,prcp_e5l,t_min_e5l
72007,0.8887525355330279,1,slp_dg_sav,t_min_e5l,t_max_e5l
76317,0.7068756147537028,365,ele_mt_sav,q_mm_day,t_min_e5l
10202,0.6528246184708322,185,for_pc_sse,t_min_e5l,t_max_e5l
4105,0.7126851515702644,161,ws_area,q_mm_day,t_min_e5l
9370,0.7314813594015372,282,ire_pc_sse,q_mm_day,prcp_e5l
5055,0.7832538809890256,362,pst_pc_sse,prcp_e5l,t_max_e5l
